game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,OT2,TOTAL
2022-12-05,202212050HOU,PHI,https://www.basketball-reference.com/boxscores/202212050HOU.html,30,25,29,24,9,6,123
2022-12-05,202212050HOU,HOU,https://www.basketball-reference.com/boxscores/202212050HOU.html,27,29,34,18,9,15,132
