game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,OT2,OT3,TOTAL
2021-11-26,202111260LAL,SAC,https://www.basketball-reference.com/boxscores/202111260LAL.html,20,23,30,27,12,12,17,141
2021-11-26,202111260LAL,LAL,https://www.basketball-reference.com/boxscores/202111260LAL.html,20,23,35,22,12,12,13,137
