game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct
2020-01-15,202001150CHI,WAS,Ian Mahinmi,https://www.basketball-reference.com/boxscores/202001150CHI.html,30.12,2,7,.286,0,0,4,6,.667,2,5,7,2,1,2,3,2,8,6.0,-14,
2020-01-15,202001150CHI,WAS,Bradley Beal,https://www.basketball-reference.com/boxscores/202001150CHI.html,27.4,8,13,.615,2,4,5,6,.833,1,3,4,4,0,0,2,0,23,19.1,-15,.500
2020-01-15,202001150CHI,WAS,Isaiah Thomas,https://www.basketball-reference.com/boxscores/202001150CHI.html,25.03,4,8,.500,1,3,3,4,.750,0,2,2,2,0,0,1,2,12,7.8,-14,.333
2020-01-15,202001150CHI,WAS,Gary Payton II,https://www.basketball-reference.com/boxscores/202001150CHI.html,17.53,3,4,.750,2,3,2,2,1.000,0,2,2,2,0,1,0,1,10,10.7,-6,.667
2020-01-15,202001150CHI,WAS,Thomas Bryant,https://www.basketball-reference.com/boxscores/202001150CHI.html,12.4,2,4,.500,1,1,0,0,,1,2,3,1,0,0,1,0,5,4.0,-6,1.000
2020-01-15,202001150CHI,WAS,Dāvis Bertāns,https://www.basketball-reference.com/boxscores/202001150CHI.html,25.97,4,15,.267,4,10,0,0,,0,5,5,2,2,0,3,3,12,3.8,-4,.400
2020-01-15,202001150CHI,WAS,Jordan McRae,https://www.basketball-reference.com/boxscores/202001150CHI.html,25.48,6,13,.462,0,5,4,4,1.000,0,4,4,3,1,0,1,3,16,11.4,+3,.000
2020-01-15,202001150CHI,WAS,Ish Smith,https://www.basketball-reference.com/boxscores/202001150CHI.html,22.58,2,3,.667,0,0,1,2,.500,0,2,2,5,0,1,2,2,5,5.3,+3,
2020-01-15,202001150CHI,WAS,Isaac Bonga,https://www.basketball-reference.com/boxscores/202001150CHI.html,18.32,2,2,1.000,1,1,0,0,,0,3,3,1,0,1,0,0,5,6.7,+8,1.000
2020-01-15,202001150CHI,WAS,Anžejs Pasečņiks,https://www.basketball-reference.com/boxscores/202001150CHI.html,17.88,4,7,.571,0,0,2,2,1.000,3,0,3,2,3,1,3,3,10,9.7,+5,
2020-01-15,202001150CHI,WAS,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202001150CHI.html,17.28,0,3,.000,0,0,0,0,,0,3,3,1,1,0,0,1,0,0.1,-5,
2020-01-15,202001150CHI,CHI,Zach LaVine,https://www.basketball-reference.com/boxscores/202001150CHI.html,32.6,12,21,.571,6,11,0,1,.000,0,7,7,7,1,0,3,3,30,23.5,+12,.545
2020-01-15,202001150CHI,CHI,Lauri Markkanen,https://www.basketball-reference.com/boxscores/202001150CHI.html,31.18,4,8,.500,2,3,3,4,.750,1,7,8,1,0,1,2,1,13,10.4,+7,.667
2020-01-15,202001150CHI,CHI,Kris Dunn,https://www.basketball-reference.com/boxscores/202001150CHI.html,29.68,1,7,.143,0,5,0,0,,1,1,2,7,3,1,0,3,2,5.9,+22,.000
2020-01-15,202001150CHI,CHI,Tomáš Satoranský,https://www.basketball-reference.com/boxscores/202001150CHI.html,27.58,5,9,.556,1,4,7,7,1.000,2,1,3,5,1,0,1,2,18,18.1,+18,.250
2020-01-15,202001150CHI,CHI,Daniel Gafford,https://www.basketball-reference.com/boxscores/202001150CHI.html,1.35,1,1,1.000,0,0,0,0,,0,1,1,0,1,0,0,0,2,3.0,-1,
2020-01-15,202001150CHI,CHI,Luke Kornet,https://www.basketball-reference.com/boxscores/202001150CHI.html,35.27,4,10,.400,1,5,1,2,.500,1,3,4,2,1,2,0,4,10,8.0,+18,.200
2020-01-15,202001150CHI,CHI,Coby White,https://www.basketball-reference.com/boxscores/202001150CHI.html,22.53,4,9,.444,1,5,1,2,.500,0,4,4,2,0,0,3,1,10,4.1,-11,.200
2020-01-15,202001150CHI,CHI,Thaddeus Young,https://www.basketball-reference.com/boxscores/202001150CHI.html,20.93,7,9,.778,3,3,1,3,.333,3,5,8,0,2,1,4,1,18,15.6,-1,1.000
2020-01-15,202001150CHI,CHI,Ryan Arcidiacono,https://www.basketball-reference.com/boxscores/202001150CHI.html,17.28,0,2,.000,0,2,0,0,,0,2,2,2,0,0,1,3,0,-1.6,-8,.000
2020-01-15,202001150CHI,CHI,Chandler Hutchison,https://www.basketball-reference.com/boxscores/202001150CHI.html,12.2,5,7,.714,0,0,1,2,.500,0,0,0,0,2,0,0,1,11,9.3,-4,
2020-01-15,202001150CHI,CHI,Cristiano Felício,https://www.basketball-reference.com/boxscores/202001150CHI.html,7.27,0,1,.000,0,0,0,0,,0,2,2,0,0,0,1,0,0,-1.1,-5,
2020-01-15,202001150CHI,CHI,Shaquille Harrison,https://www.basketball-reference.com/boxscores/202001150CHI.html,2.12,0,1,.000,0,0,1,1,1.000,0,0,0,0,0,0,0,0,1,0.3,-2,
