game_date,game_id,team,url,Q1,Q2,Q3,Q4,TOTAL
2025-04-10,202504100IND,CLE,https://www.basketball-reference.com/boxscores/202504100IND.html,23,33,26,30,112
2025-04-10,202504100IND,IND,https://www.basketball-reference.com/boxscores/202504100IND.html,28,24,29,33,114
