game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,TOTAL
2023-03-09,202303090IND,HOU,https://www.basketball-reference.com/boxscores/202303090IND.html,27,31,33,24,10,125
2023-03-09,202303090IND,IND,https://www.basketball-reference.com/boxscores/202303090IND.html,38,26,34,17,19,134
