game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2024-04-05,202404050LAC,UTA,Omer Yurtseven,https://www.basketball-reference.com/boxscores/202404050LAC.html,21.05,6,10,.600,0,0,0,0,5,2,7,1,1,0,1,0,12,12.2,-20,,
2024-04-05,202404050LAC,UTA,Keyonte George,https://www.basketball-reference.com/boxscores/202404050LAC.html,18.78,2,9,.222,0,4,2,2,0,2,2,5,0,0,5,2,6,-1.2,-13,.000,1.000
2024-04-05,202404050LAC,UTA,Collin Sexton,https://www.basketball-reference.com/boxscores/202404050LAC.html,17.87,3,14,.214,2,6,4,4,3,0,3,2,0,0,2,1,12,4.5,-25,.333,1.000
2024-04-05,202404050LAC,UTA,Brice Sensabaugh,https://www.basketball-reference.com/boxscores/202404050LAC.html,13.45,1,4,.250,0,1,2,2,0,4,4,1,0,1,1,4,4,1.6,-20,.000,1.000
2024-04-05,202404050LAC,UTA,Taylor Hendricks,https://www.basketball-reference.com/boxscores/202404050LAC.html,12.35,2,3,.667,1,1,0,0,0,2,2,0,0,0,0,0,5,4.3,-16,1.000,
2024-04-05,202404050LAC,UTA,Darius Bazley,https://www.basketball-reference.com/boxscores/202404050LAC.html,33.47,4,8,.500,1,3,3,5,1,5,6,0,3,1,3,0,12,10.1,-12,.333,.600
2024-04-05,202404050LAC,UTA,Johnny Juzang,https://www.basketball-reference.com/boxscores/202404050LAC.html,31.75,3,8,.375,2,5,1,2,2,5,7,3,1,1,0,1,9,10.5,-13,.400,.500
2024-04-05,202404050LAC,UTA,Talen Horton-Tucker,https://www.basketball-reference.com/boxscores/202404050LAC.html,26.4,5,14,.357,2,5,5,7,0,3,3,1,2,0,1,2,17,10.2,-16,.400,.714
2024-04-05,202404050LAC,UTA,Kris Dunn,https://www.basketball-reference.com/boxscores/202404050LAC.html,23.6,3,5,.600,0,1,4,5,1,0,1,1,1,0,1,3,10,7.5,+5,.000,.800
2024-04-05,202404050LAC,UTA,Jason Preston,https://www.basketball-reference.com/boxscores/202404050LAC.html,16.93,3,6,.500,0,1,0,0,1,3,4,6,1,0,0,1,6,9.4,-10,.000,
2024-04-05,202404050LAC,UTA,Kenneth Lofton Jr.,https://www.basketball-reference.com/boxscores/202404050LAC.html,12.0,3,7,.429,1,2,0,0,1,0,1,0,0,0,0,0,7,4.0,-4,.500,
2024-04-05,202404050LAC,UTA,Micah Potter,https://www.basketball-reference.com/boxscores/202404050LAC.html,8.97,0,2,.000,0,1,2,2,0,2,2,0,2,1,1,2,2,2.1,+3,.000,1.000
2024-04-05,202404050LAC,UTA,Luka Šamanić,https://www.basketball-reference.com/boxscores/202404050LAC.html,3.37,0,1,.000,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.4,-4,,
2024-04-05,202404050LAC,LAC,James Harden,https://www.basketball-reference.com/boxscores/202404050LAC.html,32.6,4,10,.400,2,7,3,3,0,10,10,15,0,0,5,1,13,15.7,+19,.286,1.000
2024-04-05,202404050LAC,LAC,Ivica Zubac,https://www.basketball-reference.com/boxscores/202404050LAC.html,23.95,5,6,.833,0,0,2,2,2,8,10,2,1,3,0,4,12,16.5,+15,,1.000
2024-04-05,202404050LAC,LAC,Terance Mann,https://www.basketball-reference.com/boxscores/202404050LAC.html,22.72,8,9,.889,0,1,3,4,1,3,4,1,2,0,1,3,19,17.6,+23,.000,.750
2024-04-05,202404050LAC,LAC,Paul George,https://www.basketball-reference.com/boxscores/202404050LAC.html,20.98,5,9,.556,2,5,2,2,0,2,2,3,0,0,1,3,14,10.2,+18,.400,1.000
2024-04-05,202404050LAC,LAC,P.J. Tucker,https://www.basketball-reference.com/boxscores/202404050LAC.html,14.12,1,2,.500,1,1,0,0,0,0,0,1,1,0,0,1,3,3.3,+16,1.000,
2024-04-05,202404050LAC,LAC,Amir Coffey,https://www.basketball-reference.com/boxscores/202404050LAC.html,30.68,4,9,.444,1,4,2,2,1,3,4,0,1,0,1,3,11,6.7,+7,.250,1.000
2024-04-05,202404050LAC,LAC,Norman Powell,https://www.basketball-reference.com/boxscores/202404050LAC.html,25.87,5,12,.417,4,8,4,4,0,2,2,1,1,0,1,2,18,12.1,+15,.500,1.000
2024-04-05,202404050LAC,LAC,Russell Westbrook,https://www.basketball-reference.com/boxscores/202404050LAC.html,21.32,8,11,.727,1,1,0,1,0,5,5,4,2,0,5,2,17,12.6,+10,1.000,.000
2024-04-05,202404050LAC,LAC,Daniel Theis,https://www.basketball-reference.com/boxscores/202404050LAC.html,16.9,5,7,.714,1,2,0,0,1,4,5,1,0,1,0,2,11,10.6,+12,.500,
2024-04-05,202404050LAC,LAC,Bones Hyland,https://www.basketball-reference.com/boxscores/202404050LAC.html,7.15,2,5,.400,1,3,0,0,0,1,1,4,0,0,0,1,5,5.0,+2,.333,
2024-04-05,202404050LAC,LAC,Brandon Boston Jr.,https://www.basketball-reference.com/boxscores/202404050LAC.html,7.15,2,6,.333,0,2,0,0,0,0,0,0,0,0,0,0,4,0.6,+2,.000,
2024-04-05,202404050LAC,LAC,Kobe Brown,https://www.basketball-reference.com/boxscores/202404050LAC.html,7.15,2,2,1.000,0,0,0,0,2,1,3,0,0,0,0,0,4,5.1,+2,,
2024-04-05,202404050LAC,LAC,Mason Plumlee,https://www.basketball-reference.com/boxscores/202404050LAC.html,7.15,0,2,.000,0,1,0,0,0,4,4,0,1,0,0,0,0,0.8,+2,.000,
2024-04-05,202404050LAC,LAC,Xavier Moon,https://www.basketball-reference.com/boxscores/202404050LAC.html,2.27,0,1,.000,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,+2,,
