team,elo
OKC,1839.6428881271843
MIN,1748.348359261685
IND,1724.0658723282897
CLE,1720.9964848771297
BOS,1708.3956493479354
LAC,1688.6270065842023
DEN,1682.383356838204
NYK,1631.4487606784323
GSW,1629.8159479705967
HOU,1614.7453645615267
MIL,1576.3033893670763
LAL,1570.2048213322303
DET,1542.0860159354445
CHI,1540.1391744474688
ORL,1537.6734310327138
POR,1527.213086061097
MEM,1504.4159726450505
MIA,1492.9417989890721
SAC,1474.600967259319
ATL,1446.9642586573048
DAL,1412.6600552279374
PHO,1406.3942264378557
SAS,1395.493859646035
TOR,1377.4034638820992
NOP,1263.939958103138
BRK,1222.575145025475
UTA,1214.9089591549584
PHI,1197.1690509569594
CHO,1165.8933318579848
WAS,1142.549343405594
