game_date,game_id,team,player,url,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg
2020-08-15,202008150POR,MEM,Ja Morant,https://www.basketball-reference.com/boxscores/202008150POR.html,41:52,.555,.518,.214,.286,2.7,7.5,5.2,30.5,0.0,0.0,20.2,37.9,101,127
2020-08-15,202008150POR,MEM,Dillon Brooks,https://www.basketball-reference.com/boxscores/202008150POR.html,37:41,.518,.500,.278,.167,3.0,2.8,2.9,7.1,1.2,0.0,0.0,20.6,117,125
2020-08-15,202008150POR,MEM,Jonas Valančiūnas,https://www.basketball-reference.com/boxscores/202008150POR.html,34:02,.590,.500,.250,.375,13.4,39.9,27.2,25.1,0.0,0.0,5.1,23.1,138,119
2020-08-15,202008150POR,MEM,Kyle Anderson,https://www.basketball-reference.com/boxscores/202008150POR.html,27:11,.776,.750,.167,.167,4.2,19.2,12.0,41.9,3.4,4.0,48.2,18.4,103,114
2020-08-15,202008150POR,MEM,Anthony Tolliver,https://www.basketball-reference.com/boxscores/202008150POR.html,23:26,.717,.625,.500,.500,4.9,8.9,7.0,0.0,0.0,4.7,0.0,8.4,158,124
2020-08-15,202008150POR,MEM,Brandon Clarke,https://www.basketball-reference.com/boxscores/202008150POR.html,24:37,.909,.909,.455,.000,9.3,8.5,8.9,19.9,0.0,8.9,8.3,19.6,164,121
2020-08-15,202008150POR,MEM,Grayson Allen,https://www.basketball-reference.com/boxscores/202008150POR.html,22:52,.387,.333,.333,.667,5.0,18.3,11.9,4.9,0.0,0.0,34.0,10.3,70,124
2020-08-15,202008150POR,MEM,De'Anthony Melton,https://www.basketball-reference.com/boxscores/202008150POR.html,14:24,.375,.375,.250,.000,0.0,29.0,15.2,8.0,6.4,0.0,0.0,11.1,97,107
2020-08-15,202008150POR,MEM,Gorgui Dieng,https://www.basketball-reference.com/boxscores/202008150POR.html,13:55,.500,.500,.000,.000,8.2,22.5,15.7,0.0,0.0,15.7,0.0,5.8,126,114
2020-08-15,202008150POR,POR,Damian Lillard,https://www.basketball-reference.com/boxscores/202008150POR.html,44:56,.733,.567,.933,.933,0.0,5.1,2.4,33.8,1.0,0.0,4.5,20.6,159,124
2020-08-15,202008150POR,POR,CJ McCollum,https://www.basketball-reference.com/boxscores/202008150POR.html,44:10,.698,.658,.368,.211,0.0,7.8,3.7,4.2,2.1,1.6,8.8,21.5,127,120
2020-08-15,202008150POR,POR,Jusuf Nurkić,https://www.basketball-reference.com/boxscores/202008150POR.html,40:39,.612,.643,.214,.643,15.4,42.2,28.2,24.8,2.3,3.5,21.8,23.6,116,109
2020-08-15,202008150POR,POR,Carmelo Anthony,https://www.basketball-reference.com/boxscores/202008150POR.html,37:45,.541,.367,.400,.667,0.0,9.1,4.3,4.0,0.0,1.9,9.3,23.7,106,124
2020-08-15,202008150POR,POR,Zach Collins,https://www.basketball-reference.com/boxscores/202008150POR.html,7:28,.750,.750,1.000,.000,0.0,15.3,7.3,0.0,0.0,0.0,0.0,11.2,143,124
2020-08-15,202008150POR,POR,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202008150POR.html,35:07,.581,.583,.500,.333,3.0,6.5,4.7,4.0,6.6,4.1,22.5,10.6,97,109
2020-08-15,202008150POR,POR,Hassan Whiteside,https://www.basketball-reference.com/boxscores/202008150POR.html,13:54,.333,.333,.000,.000,7.5,24.7,15.7,0.0,3.3,0.0,0.0,18.0,81,114
2020-08-15,202008150POR,POR,Wenyen Gabriel,https://www.basketball-reference.com/boxscores/202008150POR.html,9:07,.500,.500,.333,.000,11.4,0.0,6.0,16.1,0.0,0.0,0.0,13.7,130,128
2020-08-15,202008150POR,POR,Mario Hezonja,https://www.basketball-reference.com/boxscores/202008150POR.html,6:54,.512,.375,1.000,.500,0.0,16.6,7.9,0.0,6.7,10.4,17.0,35.6,88,101
