game_date,game_id,team,url,pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
2022-03-31,202203310CHI,LAC,https://www.basketball-reference.com/boxscores/202203310CHI.html,97.7,0.589,10.6,9.8,0.267,120.5
2022-03-31,202203310CHI,CHI,https://www.basketball-reference.com/boxscores/202203310CHI.html,97.7,0.539,6.4,26.5,0.245,125.2
