player,elo
Victor Wembanyama,2057.479445919096
Tyrese Haliburton,2027.5237355932873
Jalen Brunson,2021.3460397301042
Anthony Edwards,2010.810708778267
Jayson Tatum,2000.0
Donovan Mitchell,2000.0
Shai Gilgeous-Alexander,1999.516069172744
Kawhi Leonard,1994.142408047075
Nikola Jokić,1993.676656398691
Giannis Antetokounmpo,1988.9008829348224
Stephen Curry,1985.0
Kevin Durant,1978.2435515555599
LeBron James,1962.8409979472844
Anthony Davis,1955.736999224035
Luka Dončić,1898.7326369242114
Joel Embiid,1895.6326904503321
Jaylen Brown,1889.5182630219877
Chet Holmgren,1874.5764754600557
Devin Booker,1860.1493368525078
Trae Young,1853.7305106290062
Paolo Banchero,1850.879135903182
Derrick White,1849.9073109054223
Zion Williamson,1824.2244928781422
James Harden,1821.6739407586692
Jarrett Allen,1775.0285102952782
Jimmy Butler,1771.1637702388962
LaMelo Ball,1746.2322428721254
Evan Mobley,1743.0605616916716
Alperen Şengün,1742.162594765762
Domantas Sabonis,1739.812421116856
Pascal Siakam,1733.250722397945
Ivica Zubac,1727.3730568896344
Payton Pritchard,1724.9248943539728
Karl-Anthony Towns,1704.2559607731434
Rudy Gobert,1703.05650986519
Jaren Jackson Jr.,1696.574512483518
Jamal Murray,1694.5814353451624
Al Horford,1683.1276643082456
Amen Thompson,1681.9183075008061
Jrue Holiday,1680.3471960024383
Kristaps Porziņģis,1678.8118227752464
Damian Lillard,1676.4504399047933
Jalen Williams,1672.6317739034141
Cade Cunningham,1670.998794470289
Darius Garland,1669.171361610953
Josh Hart,1667.694273321496
Luke Kornet,1657.2011061518906
Josh Giddey,1652.037045853185
Mike Conley,1650.2404276781447
Aaron Gordon,1647.8425928429542
Isaiah Hartenstein,1641.084072993833
Alex Caruso,1638.1882511760537
Franz Wagner,1637.7224187266434
Julius Randle,1637.3167490386456
Kyrie Irving,1632.2810320175556
OG Anunoby,1628.2463958940552
Isaiah Joe,1627.4853763974925
Naz Reid,1626.6405604735241
Brook Lopez,1625.7308510289638
Fred VanVleet,1625.5865532546613
