game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2023-03-11,202303110ORL,MIA,Bam Adebayo,https://www.basketball-reference.com/boxscores/202303110ORL.html,42.03,7,17,.412,0,0,0,0,1,6,7,3,0,0,4,3,14,4.3,-10,,
2023-03-11,202303110ORL,MIA,Jimmy Butler,https://www.basketball-reference.com/boxscores/202303110ORL.html,39.05,14,25,.560,2,7,8,8,1,4,5,2,1,0,2,2,38,27.6,-8,.286,1.000
2023-03-11,202303110ORL,MIA,Gabe Vincent,https://www.basketball-reference.com/boxscores/202303110ORL.html,37.27,5,10,.500,1,4,2,2,1,1,2,1,1,0,2,4,13,7.1,-9,.250,1.000
2023-03-11,202303110ORL,MIA,Tyler Herro,https://www.basketball-reference.com/boxscores/202303110ORL.html,26.6,6,13,.462,2,6,0,0,0,5,5,3,0,0,3,0,14,7.9,-4,.333,
2023-03-11,202303110ORL,MIA,Kevin Love,https://www.basketball-reference.com/boxscores/202303110ORL.html,17.02,0,1,.000,0,1,4,4,0,4,4,2,1,0,1,1,4,5.5,-4,.000,1.000
2023-03-11,202303110ORL,MIA,Kyle Lowry,https://www.basketball-reference.com/boxscores/202303110ORL.html,36.15,4,8,.500,3,6,1,2,0,2,2,4,2,1,3,4,12,9.1,-17,.500,.500
2023-03-11,202303110ORL,MIA,Max Strus,https://www.basketball-reference.com/boxscores/202303110ORL.html,32.23,3,5,.600,2,4,0,0,1,3,4,1,1,0,0,1,8,8.6,-7,.500,
2023-03-11,202303110ORL,MIA,Victor Oladipo,https://www.basketball-reference.com/boxscores/202303110ORL.html,23.52,3,13,.231,1,8,2,2,0,3,3,3,2,1,2,1,9,4.4,+1,.125,1.000
2023-03-11,202303110ORL,MIA,Omer Yurtseven,https://www.basketball-reference.com/boxscores/202303110ORL.html,7.22,0,1,.000,0,0,0,0,1,0,1,0,0,0,0,1,0,-0.4,+3,,
2023-03-11,202303110ORL,MIA,Cody Zeller,https://www.basketball-reference.com/boxscores/202303110ORL.html,3.75,0,1,.000,0,1,2,2,0,2,2,0,0,0,0,0,2,1.9,-5,.000,1.000
2023-03-11,202303110ORL,MIA,Jamal Cain,https://www.basketball-reference.com/boxscores/202303110ORL.html,0.17,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
2023-03-11,202303110ORL,ORL,Paolo Banchero,https://www.basketball-reference.com/boxscores/202303110ORL.html,42.7,5,14,.357,1,3,6,6,2,8,10,9,0,0,3,1,17,15.9,+16,.333,1.000
2023-03-11,202303110ORL,ORL,Wendell Carter Jr.,https://www.basketball-reference.com/boxscores/202303110ORL.html,41.57,12,17,.706,2,7,1,2,2,9,11,2,1,0,1,1,27,24.6,+10,.286,.500
2023-03-11,202303110ORL,ORL,Markelle Fultz,https://www.basketball-reference.com/boxscores/202303110ORL.html,38.03,6,15,.400,0,1,0,0,2,2,4,8,2,2,6,5,12,6.9,+20,.000,
2023-03-11,202303110ORL,ORL,Franz Wagner,https://www.basketball-reference.com/boxscores/202303110ORL.html,28.78,7,10,.700,1,3,2,4,4,4,8,6,0,1,1,2,17,19.1,-5,.333,.500
2023-03-11,202303110ORL,ORL,Gary Harris,https://www.basketball-reference.com/boxscores/202303110ORL.html,26.87,4,13,.308,3,10,0,0,0,1,1,2,3,2,0,1,11,9.2,-4,.300,
2023-03-11,202303110ORL,ORL,Cole Anthony,https://www.basketball-reference.com/boxscores/202303110ORL.html,33.22,5,9,.556,1,1,5,5,1,5,6,3,0,1,3,5,16,11.7,+12,1.000,1.000
2023-03-11,202303110ORL,ORL,Jalen Suggs,https://www.basketball-reference.com/boxscores/202303110ORL.html,27.22,5,10,.500,4,6,2,2,3,2,5,4,4,3,3,3,16,18.4,+11,.667,1.000
2023-03-11,202303110ORL,ORL,Bol Bol,https://www.basketball-reference.com/boxscores/202303110ORL.html,11.95,1,2,.500,0,1,0,0,0,4,4,0,0,1,0,0,2,2.9,+1,.000,
2023-03-11,202303110ORL,ORL,Moritz Wagner,https://www.basketball-reference.com/boxscores/202303110ORL.html,11.43,3,8,.375,1,4,1,1,1,4,5,0,0,0,0,1,8,5.1,+2,.250,1.000
2023-03-11,202303110ORL,ORL,Chuma Okeke,https://www.basketball-reference.com/boxscores/202303110ORL.html,2.7,0,1,.000,0,1,0,0,0,0,0,0,0,0,1,1,0,-2.1,-3,.000,
2023-03-11,202303110ORL,ORL,Caleb Houstan,https://www.basketball-reference.com/boxscores/202303110ORL.html,0.53,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,
