game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,OT2,TOTAL
2020-09-09,202009090BOS,TOR,https://www.basketball-reference.com/boxscores/202009090BOS.html,21,27,33,17,8,19,125
2020-09-09,202009090BOS,BOS,https://www.basketball-reference.com/boxscores/202009090BOS.html,25,27,25,21,8,16,122
