game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score
2020-08-15,202008150POR,MEM,Q2,Kyle Anderson,https://www.basketball-reference.com/boxscores/202008150POR.html,7.45,1,3,.333,0,0,,1,1,1.000,0,1,1,4,1,0,2,1,3,3.0
2020-08-15,202008150POR,MEM,Q2,Anthony Tolliver,https://www.basketball-reference.com/boxscores/202008150POR.html,8.87,0,1,.000,0,0,,2,2,1.000,0,2,2,0,0,1,0,1,2,2.2
2020-08-15,202008150POR,MEM,Q2,Brandon Clarke,https://www.basketball-reference.com/boxscores/202008150POR.html,3.13,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,0,2,2.7
2020-08-15,202008150POR,MEM,Q2,Grayson Allen,https://www.basketball-reference.com/boxscores/202008150POR.html,6.6,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
2020-08-15,202008150POR,MEM,Q2,De'Anthony Melton,https://www.basketball-reference.com/boxscores/202008150POR.html,6.13,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,1,0,0.2
2020-08-15,202008150POR,MEM,Q2,Gorgui Dieng,https://www.basketball-reference.com/boxscores/202008150POR.html,3.13,0,0,,0,0,,0,0,,0,0,0,0,0,2,0,1,0,1.0
2020-08-15,202008150POR,MEM,Q3,Ja Morant,https://www.basketball-reference.com/boxscores/202008150POR.html,12.0,3,5,.600,1,1,1.000,3,4,.750,1,0,1,7,0,0,2,0,10,10.9
2020-08-15,202008150POR,MEM,Q3,Dillon Brooks,https://www.basketball-reference.com/boxscores/202008150POR.html,8.13,3,5,.600,1,1,1.000,2,3,.667,0,0,0,0,0,0,0,2,9,5.5
2020-08-15,202008150POR,MEM,Q3,Jonas Valančiūnas,https://www.basketball-reference.com/boxscores/202008150POR.html,8.47,0,2,.000,0,1,.000,2,2,1.000,1,3,4,1,0,0,0,0,2,2.9
2020-08-15,202008150POR,MEM,Q3,Kyle Anderson,https://www.basketball-reference.com/boxscores/202008150POR.html,7.1,1,1,1.000,0,0,,0,0,,0,3,3,2,1,0,1,0,2,4.0
2020-08-15,202008150POR,MEM,Q3,Anthony Tolliver,https://www.basketball-reference.com/boxscores/202008150POR.html,5.62,2,2,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,5,4.7
2020-08-15,202008150POR,MEM,Q3,Brandon Clarke,https://www.basketball-reference.com/boxscores/202008150POR.html,6.38,5,6,.833,4,4,1.000,0,0,,0,0,0,0,0,0,0,0,14,11.8
2020-08-15,202008150POR,MEM,Q3,Grayson Allen,https://www.basketball-reference.com/boxscores/202008150POR.html,4.9,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,0.6
2020-08-15,202008150POR,MEM,Q3,De'Anthony Melton,https://www.basketball-reference.com/boxscores/202008150POR.html,3.87,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3
2020-08-15,202008150POR,MEM,Q3,Gorgui Dieng,https://www.basketball-reference.com/boxscores/202008150POR.html,3.53,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3
2020-08-15,202008150POR,MEM,Q4,Ja Morant,https://www.basketball-reference.com/boxscores/202008150POR.html,12.0,6,12,.500,2,2,1.000,0,0,,0,0,0,0,0,0,3,0,14,5.0
2020-08-15,202008150POR,MEM,Q4,Dillon Brooks,https://www.basketball-reference.com/boxscores/202008150POR.html,10.6,1,3,.333,1,1,1.000,0,0,,1,0,1,0,0,0,0,0,3,2.0
2020-08-15,202008150POR,MEM,Q4,Jonas Valančiūnas,https://www.basketball-reference.com/boxscores/202008150POR.html,9.23,2,5,.400,0,2,.000,0,0,,1,5,6,2,0,0,0,1,4,4.5
2020-08-15,202008150POR,MEM,Q4,Kyle Anderson,https://www.basketball-reference.com/boxscores/202008150POR.html,5.17,1,1,1.000,0,0,,0,0,,1,1,2,1,0,1,2,0,2,2.1
2020-08-15,202008150POR,MEM,Q4,Anthony Tolliver,https://www.basketball-reference.com/boxscores/202008150POR.html,4.48,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5
2020-08-15,202008150POR,MEM,Q4,Brandon Clarke,https://www.basketball-reference.com/boxscores/202008150POR.html,7.57,0,0,,0,0,,0,0,,0,1,1,3,0,0,0,2,0,1.6
2020-08-15,202008150POR,MEM,Q4,Grayson Allen,https://www.basketball-reference.com/boxscores/202008150POR.html,6.83,1,1,1.000,0,0,,1,2,.500,1,1,2,0,0,0,1,2,3,1.5
2020-08-15,202008150POR,MEM,Q4,De'Anthony Melton,https://www.basketball-reference.com/boxscores/202008150POR.html,1.4,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8
2020-08-15,202008150POR,MEM,Q4,Gorgui Dieng,https://www.basketball-reference.com/boxscores/202008150POR.html,2.72,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,2.0
