game_date,game_id,team,url,pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
2022-11-11,202211110LAL,SAC,https://www.basketball-reference.com/boxscores/202211110LAL.html,97.5,0.586,13.5,27.0,0.207,123.1
2022-11-11,202211110LAL,LAL,https://www.basketball-reference.com/boxscores/202211110LAL.html,97.5,0.534,12.3,31.8,0.227,116.9
