game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score
2023-03-31,202303310MIN,LAL,Anthony Davis,https://www.basketball-reference.com/boxscores/202303310MIN.html,36.85,15,26,.577,0,2,.000,8,10,.800,8,9,17,0,1,2,3,3,38,31.5
2023-03-31,202303310MIN,LAL,D'Angelo Russell,https://www.basketball-reference.com/boxscores/202303310MIN.html,33.82,5,12,.417,1,4,.250,1,2,.500,0,1,1,10,2,0,3,3,12,10.3
2023-03-31,202303310MIN,LAL,LeBron James,https://www.basketball-reference.com/boxscores/202303310MIN.html,32.48,7,19,.368,1,3,.333,3,4,.750,1,9,10,6,1,2,3,1,18,13.7
2023-03-31,202303310MIN,LAL,Austin Reaves,https://www.basketball-reference.com/boxscores/202303310MIN.html,30.48,4,9,.444,2,3,.667,5,6,.833,2,4,6,2,0,0,2,1,15,11.5
2023-03-31,202303310MIN,LAL,Jarred Vanderbilt,https://www.basketball-reference.com/boxscores/202303310MIN.html,28.27,5,8,.625,2,2,1.000,0,0,,2,3,5,2,2,0,1,0,12,13.1
2023-03-31,202303310MIN,LAL,Dennis Schröder,https://www.basketball-reference.com/boxscores/202303310MIN.html,22.65,3,4,.750,0,1,.000,5,6,.833,0,0,0,6,2,0,2,2,11,12.4
2023-03-31,202303310MIN,LAL,Rui Hachimura,https://www.basketball-reference.com/boxscores/202303310MIN.html,21.25,1,4,.250,0,2,.000,2,2,1.000,1,5,6,1,1,1,1,3,4,4.0
2023-03-31,202303310MIN,LAL,Wenyen Gabriel,https://www.basketball-reference.com/boxscores/202303310MIN.html,14.88,2,2,1.000,0,0,,0,0,,1,1,2,1,1,0,0,2,4,5.3
2023-03-31,202303310MIN,LAL,Malik Beasley,https://www.basketball-reference.com/boxscores/202303310MIN.html,10.45,3,5,.600,3,4,.750,0,0,,0,6,6,0,0,0,1,1,9,7.1
2023-03-31,202303310MIN,LAL,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202303310MIN.html,8.85,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1
2023-03-31,202303310MIN,MIN,Anthony Edwards,https://www.basketball-reference.com/boxscores/202303310MIN.html,38.2,4,16,.250,2,7,.286,1,2,.500,0,4,4,3,1,0,3,1,11,1.9
2023-03-31,202303310MIN,MIN,Jaden McDaniels,https://www.basketball-reference.com/boxscores/202303310MIN.html,37.48,6,14,.429,3,6,.500,0,0,,1,4,5,2,1,1,5,4,15,6.0
2023-03-31,202303310MIN,MIN,Karl-Anthony Towns,https://www.basketball-reference.com/boxscores/202303310MIN.html,35.72,8,18,.444,2,7,.286,5,5,1.000,4,4,8,3,0,0,1,5,23,16.7
2023-03-31,202303310MIN,MIN,Mike Conley,https://www.basketball-reference.com/boxscores/202303310MIN.html,31.58,7,11,.636,4,6,.667,7,8,.875,0,3,3,7,3,0,2,6,25,24.1
2023-03-31,202303310MIN,MIN,Rudy Gobert,https://www.basketball-reference.com/boxscores/202303310MIN.html,31.1,6,9,.667,0,0,,2,2,1.000,5,6,11,1,2,0,1,3,14,15.9
2023-03-31,202303310MIN,MIN,Kyle Anderson,https://www.basketball-reference.com/boxscores/202303310MIN.html,31.48,8,11,.727,1,2,.500,0,0,,2,2,4,6,2,3,1,0,17,21.8
2023-03-31,202303310MIN,MIN,Taurean Prince,https://www.basketball-reference.com/boxscores/202303310MIN.html,20.57,2,10,.200,1,7,.143,1,2,.500,0,3,3,1,1,0,1,2,6,0.2
2023-03-31,202303310MIN,MIN,Jordan McLaughlin,https://www.basketball-reference.com/boxscores/202303310MIN.html,9.95,0,5,.000,0,3,.000,0,0,,0,1,1,2,0,0,2,1,0,-4.2
2023-03-31,202303310MIN,MIN,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202303310MIN.html,3.9,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7
