game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct
2020-08-09,202008090NOP,SAS,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202008090NOP.html,33.08,10,16,.625,0,0,7,7,1.000,1,3,4,2,1,0,3,3,27,19.6,+6,
2020-08-09,202008090NOP,SAS,Dejounte Murray,https://www.basketball-reference.com/boxscores/202008090NOP.html,32.77,5,14,.357,3,5,5,6,.833,0,5,5,2,2,1,2,2,18,12.6,+1,.600
2020-08-09,202008090NOP,SAS,Lonnie Walker IV,https://www.basketball-reference.com/boxscores/202008090NOP.html,29.92,3,13,.231,1,5,0,0,,2,4,6,6,0,1,1,3,7,4.4,+16,.200
2020-08-09,202008090NOP,SAS,Jakob Poeltl,https://www.basketball-reference.com/boxscores/202008090NOP.html,22.47,2,4,.500,0,0,0,0,,5,9,14,1,2,0,3,5,4,5.9,+4,
2020-08-09,202008090NOP,SAS,Derrick White,https://www.basketball-reference.com/boxscores/202008090NOP.html,20.75,6,11,.545,2,6,2,2,1.000,0,3,3,3,0,1,1,1,16,13.0,+12,.333
2020-08-09,202008090NOP,SAS,Rudy Gay,https://www.basketball-reference.com/boxscores/202008090NOP.html,28.62,5,11,.455,2,5,7,7,1.000,1,4,5,3,3,1,2,3,19,17.8,+17,.400
2020-08-09,202008090NOP,SAS,Keldon Johnson,https://www.basketball-reference.com/boxscores/202008090NOP.html,25.62,2,3,.667,1,1,4,4,1.000,0,1,1,0,2,0,2,5,9,6.0,-4,1.000
2020-08-09,202008090NOP,SAS,Drew Eubanks,https://www.basketball-reference.com/boxscores/202008090NOP.html,23.93,4,6,.667,0,0,0,0,,6,5,11,3,2,2,1,4,8,14.0,+2,
2020-08-09,202008090NOP,SAS,Marco Belinelli,https://www.basketball-reference.com/boxscores/202008090NOP.html,20.95,3,11,.273,2,6,6,6,1.000,0,2,2,2,0,0,2,1,14,7.1,-4,.333
2020-08-09,202008090NOP,SAS,Quinndary Weatherspoon,https://www.basketball-reference.com/boxscores/202008090NOP.html,1.9,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,
2020-08-09,202008090NOP,NOP,Jrue Holiday,https://www.basketball-reference.com/boxscores/202008090NOP.html,35.07,2,12,.167,0,5,3,3,1.000,0,3,3,7,0,1,5,4,7,-0.7,+13,.000
2020-08-09,202008090NOP,NOP,Brandon Ingram,https://www.basketball-reference.com/boxscores/202008090NOP.html,33.2,6,14,.429,2,4,3,4,.750,1,5,6,5,1,0,2,4,17,12.3,+1,.500
2020-08-09,202008090NOP,NOP,Lonzo Ball,https://www.basketball-reference.com/boxscores/202008090NOP.html,31.02,2,10,.200,0,4,1,1,1.000,2,3,5,10,0,2,3,3,5,5.3,-5,.000
2020-08-09,202008090NOP,NOP,Zion Williamson,https://www.basketball-reference.com/boxscores/202008090NOP.html,27.18,10,20,.500,0,0,5,6,.833,5,2,7,1,0,0,1,3,25,17.2,-21,
2020-08-09,202008090NOP,NOP,Derrick Favors,https://www.basketball-reference.com/boxscores/202008090NOP.html,23.92,5,8,.625,0,0,0,0,,5,7,12,1,0,1,0,0,10,13.4,+7,
2020-08-09,202008090NOP,NOP,JJ Redick,https://www.basketball-reference.com/boxscores/202008090NOP.html,31.53,10,16,.625,8,12,3,4,.750,0,5,5,3,1,0,2,1,31,25.6,-6,.667
2020-08-09,202008090NOP,NOP,Josh Hart,https://www.basketball-reference.com/boxscores/202008090NOP.html,15.9,0,1,.000,0,1,0,2,.000,2,3,5,1,0,0,0,3,0,0.3,-24,.000
2020-08-09,202008090NOP,NOP,Jaxson Hayes,https://www.basketball-reference.com/boxscores/202008090NOP.html,10.37,2,2,1.000,0,0,2,2,1.000,0,3,3,0,1,0,0,3,6,6.1,+6,
2020-08-09,202008090NOP,NOP,Nicolò Melli,https://www.basketball-reference.com/boxscores/202008090NOP.html,10.15,1,3,.333,0,1,0,0,,0,1,1,1,0,1,0,1,2,1.6,-18,.000
2020-08-09,202008090NOP,NOP,Frank Jackson,https://www.basketball-reference.com/boxscores/202008090NOP.html,9.18,2,5,.400,1,1,0,0,,1,0,1,1,0,0,2,2,5,0.9,-2,1.000
2020-08-09,202008090NOP,NOP,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202008090NOP.html,8.03,1,2,.500,1,2,0,0,,0,0,0,0,1,0,4,1,3,-1.4,+3,.500
2020-08-09,202008090NOP,NOP,E'Twaun Moore,https://www.basketball-reference.com/boxscores/202008090NOP.html,4.43,1,3,.333,0,0,0,0,,0,0,0,0,1,0,0,1,2,0.9,+1,
