game_date,game_id,team,quarter,player,url,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg_pct,fg3_pct,ft_pct
2025-01-25,202501250MEM,UTA,Q1,Isaiah Collier,https://www.basketball-reference.com/boxscores/202501250MEM.html,9.03,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1.0,-8,,,
2025-01-25,202501250MEM,UTA,Q1,Lauri Markkanen,https://www.basketball-reference.com/boxscores/202501250MEM.html,8.13,1,3,0,1,0,1,1,2,3,1,0,0,1,0,2,0.9,-4,.333,.000,.000
2025-01-25,202501250MEM,UTA,Q1,Collin Sexton,https://www.basketball-reference.com/boxscores/202501250MEM.html,8.13,1,3,0,1,4,4,0,0,0,2,0,0,1,0,6,4.7,-4,.333,.000,1.000
2025-01-25,202501250MEM,UTA,Q1,Walker Kessler,https://www.basketball-reference.com/boxscores/202501250MEM.html,6.87,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.2,-2,,,
2025-01-25,202501250MEM,UTA,Q1,Svi Mykhailiuk,https://www.basketball-reference.com/boxscores/202501250MEM.html,5.78,2,3,2,3,0,0,0,0,0,0,0,0,0,0,6,4.7,-6,.667,.667,
2025-01-25,202501250MEM,UTA,Q1,Keyonte George,https://www.basketball-reference.com/boxscores/202501250MEM.html,6.83,1,6,0,3,2,2,0,2,2,3,0,0,0,2,4,2.1,+4,.167,.000,1.000
2025-01-25,202501250MEM,UTA,Q1,Kyle Filipowski,https://www.basketball-reference.com/boxscores/202501250MEM.html,3.87,2,2,2,2,0,0,0,0,0,0,0,0,0,0,6,5.4,0,1.000,1.000,
2025-01-25,202501250MEM,UTA,Q1,Brice Sensabaugh,https://www.basketball-reference.com/boxscores/202501250MEM.html,6.22,1,2,1,2,0,0,0,1,1,0,0,0,1,1,3,0.9,+2,.500,.500,
2025-01-25,202501250MEM,UTA,Q1,Drew Eubanks,https://www.basketball-reference.com/boxscores/202501250MEM.html,5.13,2,2,0,0,0,0,1,0,1,0,0,0,0,0,4,4.1,-2,1.000,,
2025-01-25,202501250MEM,UTA,Q2,Isaiah Collier,https://www.basketball-reference.com/boxscores/202501250MEM.html,7.22,2,4,0,1,0,0,0,2,2,3,1,1,0,1,4,6.0,-5,.500,.000,
2025-01-25,202501250MEM,UTA,Q2,Lauri Markkanen,https://www.basketball-reference.com/boxscores/202501250MEM.html,7.23,2,7,0,5,0,0,0,1,1,0,0,0,0,1,4,-0.2,+3,.286,.000,
2025-01-25,202501250MEM,UTA,Q2,Collin Sexton,https://www.basketball-reference.com/boxscores/202501250MEM.html,7.23,1,5,0,2,5,6,0,0,0,1,0,0,0,0,7,4.2,+3,.200,.000,.833
2025-01-25,202501250MEM,UTA,Q2,Walker Kessler,https://www.basketball-reference.com/boxscores/202501250MEM.html,6.72,3,3,0,0,0,0,3,3,6,1,0,1,0,1,6,9.1,+3,1.000,,
2025-01-25,202501250MEM,UTA,Q2,Svi Mykhailiuk,https://www.basketball-reference.com/boxscores/202501250MEM.html,5.4,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,-0.4,-7,.000,.000,
2025-01-25,202501250MEM,UTA,Q2,Keyonte George,https://www.basketball-reference.com/boxscores/202501250MEM.html,9.43,1,3,0,2,0,0,0,0,0,0,0,0,1,0,2,-0.7,-6,.333,.000,
2025-01-25,202501250MEM,UTA,Q2,Elijah Harkless,https://www.basketball-reference.com/boxscores/202501250MEM.html,6.72,1,2,1,2,0,0,1,1,2,0,0,0,1,2,3,1.2,+3,.500,.500,
2025-01-25,202501250MEM,UTA,Q2,Kyle Filipowski,https://www.basketball-reference.com/boxscores/202501250MEM.html,7.22,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.3,-5,,,
