game_date,game_id,team,url,Q1,Q2,Q3,Q4,TOTAL
2023-11-15,202311150TOR,MIL,https://www.basketball-reference.com/boxscores/202311150TOR.html,36,34,30,28,128
2023-11-15,202311150TOR,TOR,https://www.basketball-reference.com/boxscores/202311150TOR.html,21,26,32,33,112
