game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,OT2,TOTAL
2021-01-20,202101200CLE,BRK,https://www.basketball-reference.com/boxscores/202101200CLE.html,23,26,29,35,14,8,135
2021-01-20,202101200CLE,CLE,https://www.basketball-reference.com/boxscores/202101200CLE.html,28,23,36,26,14,20,147
