game_date,game_id,team,url,pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
2020-01-28,202001280MIA,BOS,https://www.basketball-reference.com/boxscores/202001280MIA.html,96.9,0.548,13.0,24.4,0.217,112.5
2020-01-28,202001280MIA,MIA,https://www.basketball-reference.com/boxscores/202001280MIA.html,96.9,0.421,9.7,22.9,0.292,104.3
