game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct,fg3_pct
2021-01-19,202101190UTA,NOP,Q1,Zion Williamson,https://www.basketball-reference.com/boxscores/202101190UTA.html,9.45,5,5,1.000,0,0,0,0,0,1,1,0,0,0,1,2,10,7.0,+4,,
2021-01-19,202101190UTA,NOP,Q1,Brandon Ingram,https://www.basketball-reference.com/boxscores/202101190UTA.html,10.4,2,6,.333,0,0,0,1,0,0,0,1,0,1,0,0,4,1.6,-7,.000,
2021-01-19,202101190UTA,NOP,Q1,Eric Bledsoe,https://www.basketball-reference.com/boxscores/202101190UTA.html,10.4,1,5,.200,1,2,1,2,0,1,1,1,0,0,1,1,4,0.1,-7,.500,.500
2021-01-19,202101190UTA,NOP,Q1,Steven Adams,https://www.basketball-reference.com/boxscores/202101190UTA.html,10.4,2,5,.400,0,0,0,0,5,1,6,0,1,0,0,0,4,6.1,-7,,
2021-01-19,202101190UTA,NOP,Q1,Lonzo Ball,https://www.basketball-reference.com/boxscores/202101190UTA.html,5.8,0,2,.000,0,2,0,0,0,0,0,1,1,0,0,0,0,0.3,-2,,.000
2021-01-19,202101190UTA,NOP,Q1,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202101190UTA.html,6.2,1,2,.500,0,0,0,0,0,0,0,1,0,0,0,0,2,1.7,-3,,
2021-01-19,202101190UTA,NOP,Q1,Josh Hart,https://www.basketball-reference.com/boxscores/202101190UTA.html,4.15,0,2,.000,0,1,0,0,0,2,2,0,0,0,0,0,0,-0.8,-7,,.000
2021-01-19,202101190UTA,NOP,Q1,JJ Redick,https://www.basketball-reference.com/boxscores/202101190UTA.html,1.6,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,+2,,
2021-01-19,202101190UTA,NOP,Q1,Jaxson Hayes,https://www.basketball-reference.com/boxscores/202101190UTA.html,1.6,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,+2,,
2021-01-19,202101190UTA,NOP,Q2,Zion Williamson,https://www.basketball-reference.com/boxscores/202101190UTA.html,7.2,2,6,.333,0,1,0,0,0,1,1,2,0,0,0,0,4,2.3,-7,,.000
2021-01-19,202101190UTA,NOP,Q2,Brandon Ingram,https://www.basketball-reference.com/boxscores/202101190UTA.html,7.05,3,6,.500,0,0,1,1,0,2,2,0,0,1,0,0,7,5.3,+2,1.000,
2021-01-19,202101190UTA,NOP,Q2,Eric Bledsoe,https://www.basketball-reference.com/boxscores/202101190UTA.html,5.05,0,2,.000,0,1,0,0,1,1,2,0,0,0,0,0,0,-0.4,-5,,.000
2021-01-19,202101190UTA,NOP,Q2,Steven Adams,https://www.basketball-reference.com/boxscores/202101190UTA.html,4.62,1,1,1.000,0,0,0,0,0,2,2,0,0,0,0,0,2,2.3,+6,,
2021-01-19,202101190UTA,NOP,Q2,Lonzo Ball,https://www.basketball-reference.com/boxscores/202101190UTA.html,5.33,1,2,.500,0,0,0,0,0,0,0,2,0,0,0,0,2,2.4,+9,,
2021-01-19,202101190UTA,NOP,Q2,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202101190UTA.html,6.67,1,4,.250,0,1,0,0,0,2,2,0,1,0,0,1,2,0.8,-10,,.000
2021-01-19,202101190UTA,NOP,Q2,Josh Hart,https://www.basketball-reference.com/boxscores/202101190UTA.html,9.57,0,0,,0,0,0,0,0,2,2,1,0,0,0,0,0,1.3,+3,,
2021-01-19,202101190UTA,NOP,Q2,JJ Redick,https://www.basketball-reference.com/boxscores/202101190UTA.html,7.13,2,4,.500,1,2,1,1,0,2,2,0,0,0,0,0,6,4.6,+4,1.000,.500
2021-01-19,202101190UTA,NOP,Q2,Jaxson Hayes,https://www.basketball-reference.com/boxscores/202101190UTA.html,7.38,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,2,1.7,-7,,
2021-01-19,202101190UTA,NOP,Q3,Zion Williamson,https://www.basketball-reference.com/boxscores/202101190UTA.html,9.67,3,4,.750,0,0,2,2,0,2,2,0,0,0,0,1,8,6.6,-9,1.000,
2021-01-19,202101190UTA,NOP,Q3,Brandon Ingram,https://www.basketball-reference.com/boxscores/202101190UTA.html,12.0,2,3,.667,0,0,0,0,0,0,0,2,0,0,1,2,4,2.3,-16,,
2021-01-19,202101190UTA,NOP,Q3,Eric Bledsoe,https://www.basketball-reference.com/boxscores/202101190UTA.html,8.65,2,2,1.000,1,1,0,0,0,1,1,1,0,0,0,0,5,5.4,-7,,1.000
2021-01-19,202101190UTA,NOP,Q3,Steven Adams,https://www.basketball-reference.com/boxscores/202101190UTA.html,8.65,0,0,,0,0,0,0,0,1,1,1,0,0,1,0,0,0.0,-7,,
2021-01-19,202101190UTA,NOP,Q3,Lonzo Ball,https://www.basketball-reference.com/boxscores/202101190UTA.html,6.22,1,4,.250,0,3,1,2,0,0,0,0,1,0,0,0,3,1.2,-10,.500,.000
2021-01-19,202101190UTA,NOP,Q3,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202101190UTA.html,5.78,0,1,.000,0,0,0,0,0,1,1,0,0,0,1,0,0,-1.4,-6,,
2021-01-19,202101190UTA,NOP,Q3,Josh Hart,https://www.basketball-reference.com/boxscores/202101190UTA.html,2.33,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-7,,
2021-01-19,202101190UTA,NOP,Q3,JJ Redick,https://www.basketball-reference.com/boxscores/202101190UTA.html,3.35,0,2,.000,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4,-9,,.000
2021-01-19,202101190UTA,NOP,Q3,Jaxson Hayes,https://www.basketball-reference.com/boxscores/202101190UTA.html,3.35,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,-1.4,-9,,
2021-01-19,202101190UTA,NOP,Q4,Zion Williamson,https://www.basketball-reference.com/boxscores/202101190UTA.html,9.05,4,4,1.000,0,0,2,4,1,0,1,1,1,0,1,1,10,9.0,+4,.500,
2021-01-19,202101190UTA,NOP,Q4,Brandon Ingram,https://www.basketball-reference.com/boxscores/202101190UTA.html,5.87,1,3,.333,0,1,0,0,0,1,1,1,0,0,0,0,2,1.3,+3,,.000
2021-01-19,202101190UTA,NOP,Q4,Lonzo Ball,https://www.basketball-reference.com/boxscores/202101190UTA.html,5.67,1,2,.500,0,1,0,0,1,0,1,1,1,0,0,2,2,2.6,+9,,.000
2021-01-19,202101190UTA,NOP,Q4,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202101190UTA.html,12.0,2,6,.333,1,5,0,0,0,2,2,1,1,1,1,0,5,3.6,+6,,.200
2021-01-19,202101190UTA,NOP,Q4,Josh Hart,https://www.basketball-reference.com/boxscores/202101190UTA.html,9.05,3,3,1.000,2,2,0,0,0,1,1,0,1,0,0,2,8,7.6,+4,,1.000
2021-01-19,202101190UTA,NOP,Q4,JJ Redick,https://www.basketball-reference.com/boxscores/202101190UTA.html,3.18,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,+1,,
2021-01-19,202101190UTA,NOP,Q4,Jaxson Hayes,https://www.basketball-reference.com/boxscores/202101190UTA.html,2.68,0,1,.000,0,0,0,0,0,1,1,0,0,0,0,2,0,-1.2,-3,,
2021-01-19,202101190UTA,NOP,Q4,Kira Lewis Jr.,https://www.basketball-reference.com/boxscores/202101190UTA.html,3.65,1,3,.333,0,0,2,2,0,0,0,0,0,0,0,0,4,2.3,0,1.000,
2021-01-19,202101190UTA,NOP,Q4,Willy Hernangómez,https://www.basketball-reference.com/boxscores/202101190UTA.html,2.95,1,2,.500,0,0,0,0,2,1,3,0,0,0,0,0,2,2.7,+2,,
2021-01-19,202101190UTA,NOP,Q4,Naji Marshall,https://www.basketball-reference.com/boxscores/202101190UTA.html,2.95,0,1,.000,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7,+2,,.000
2021-01-19,202101190UTA,NOP,Q4,Sindarius Thornwell,https://www.basketball-reference.com/boxscores/202101190UTA.html,2.95,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,+2,,
2021-01-19,202101190UTA,UTA,Q1,Royce O'Neale,https://www.basketball-reference.com/boxscores/202101190UTA.html,10.4,0,2,.000,0,1,0,0,0,1,1,1,0,2,0,0,0,1.0,+7,,.000
2021-01-19,202101190UTA,UTA,Q1,Donovan Mitchell,https://www.basketball-reference.com/boxscores/202101190UTA.html,10.88,6,7,.857,2,3,1,1,0,3,3,0,0,0,2,2,15,10.6,+5,1.000,.667
2021-01-19,202101190UTA,UTA,Q1,Rudy Gobert,https://www.basketball-reference.com/boxscores/202101190UTA.html,7.4,2,2,1.000,0,0,0,2,2,2,4,0,0,0,0,0,4,4.6,0,.000,
2021-01-19,202101190UTA,UTA,Q1,Bojan Bogdanović,https://www.basketball-reference.com/boxscores/202101190UTA.html,7.85,1,2,.500,0,0,0,0,0,2,2,1,1,0,3,0,2,0.3,-2,,
2021-01-19,202101190UTA,UTA,Q1,Mike Conley,https://www.basketball-reference.com/boxscores/202101190UTA.html,6.92,0,0,,0,0,0,0,1,1,2,2,0,0,0,0,0,2.4,+2,,
2021-01-19,202101190UTA,UTA,Q1,Jordan Clarkson,https://www.basketball-reference.com/boxscores/202101190UTA.html,6.2,1,3,.333,1,3,0,0,0,0,0,1,0,0,0,1,3,1.6,+3,,.333
2021-01-19,202101190UTA,UTA,Q1,Joe Ingles,https://www.basketball-reference.com/boxscores/202101190UTA.html,4.15,1,2,.500,1,2,0,0,1,1,2,1,0,1,0,0,3,4.4,+7,,.500
