game_id,team,elo,season
201910220LAC,LAC,1591.742142430615,2019
201910220LAC,LAL,1518.257857569385,2019
201910220TOR,TOR,1479.331374756446,2019
201910220TOR,NOP,1490.668625243554,2019
201910230BRK,BRK,1461.953140434204,2019
201910230BRK,MIN,1628.046859565796,2019
201910230CHO,CHO,1447.583050682473,2019
201910230CHO,CHI,1492.416949317527,2019
201910230DAL,DAL,1587.2612744482972,2019
201910230DAL,WAS,1412.7387255517028,2019
201910230IND,IND,1504.086542916632,2019
201910230IND,DET,1465.913457083368,2019
201910230MIA,MIA,1539.6437670074738,2019
201910230MIA,MEM,1460.3562329925262,2019
201910230ORL,ORL,1560.2928459718892,2019
201910230ORL,CLE,1529.7071540281108,2019
201910230PHI,PHI,1624.1656368937902,2019
201910230PHI,BOS,1625.8343631062098,2019
201910230PHO,PHO,1582.3527578533754,2019
201910230PHO,SAC,1497.6472421466246,2019
201910230POR,POR,1434.677900193113,2019
201910230POR,DEN,1665.322099806887,2019
201910230SAS,SAS,1572.8573674895679,2019
201910230SAS,NYK,1557.1426325104321,2019
201910230UTA,UTA,1492.1042151774354,2019
201910230UTA,OKC,1597.8957848225646,2019
201910240DET,DET,1430.3236253264454,2019
201910240DET,ATL,1535.5898317569226,2019
201910240GSW,GSW,1494.8757306256027,2019
201910240GSW,LAC,1616.8664118050124,2019
201910240HOU,HOU,1459.1568324999687,2019
201910240HOU,MIL,1620.8431675000313,2019
201910250BOS,BOS,1635.3076180396984,2019
201910250BOS,TOR,1469.8581198229574,2019
201910250BRK,BRK,1478.5628407813815,2019
201910250BRK,NYK,1540.5329321632546,2019
201910250CHO,CHO,1421.7020361279726,2019
201910250CHO,MIN,1653.9278741202963,2019
201910250DEN,DEN,1668.0761484502589,2019
201910250DEN,PHO,1579.5987092100036,2019
201910250LAL,LAL,1531.7532361920582,2019
201910250LAL,UTA,1478.608836554762,2019
201910250MEM,MEM,1435.5720364850572,2019
201910250MEM,CHI,1517.201145824996,2019
201910250NOP,NOP,1469.3650797249302,2019
201910250NOP,DAL,1608.564819966921,2019
201910250OKC,OKC,1544.267596411906,2019
201910250OKC,WAS,1466.3669139623614,2019
201910250SAC,SAC,1465.058777194025,2019
201910250SAC,POR,1467.2663651457124,2019
201910260ATL,ATL,1544.545192513701,2019
201910260ATL,ORL,1551.3374852151107,2019
201910260CHI,CHI,1470.5260666868533,2019
201910260CHI,TOR,1516.5331989611002,2019
201910260CLE,CLE,1546.8716052425614,2019
201910260CLE,IND,1486.9220917021814,2019
201910260DET,DET,1415.5329461231315,2019
201910260DET,PHI,1638.956316097104,2019
201910260HOU,HOU,1470.7158434682901,2019
201910260HOU,NOP,1457.8060687566087,2019
201910260MIL,MIL,1598.5561299090987,2019
201910260MIL,MIA,1561.9308045984064,2019
201910260NYK,NYK,1506.605254549846,2019
201910260NYK,BOS,1669.235295653107,2019
201910260PHO,PHO,1597.3903812805,2019
201910260PHO,LAC,1599.074739734516,2019
201910260SAS,SAS,1582.1921258735613,2019
201910260SAS,WAS,1457.032155578368,2019
201910260UTA,UTA,1503.6786197262988,2019
201910260UTA,SAC,1439.9889940224882,2019
201910270DAL,DAL,1600.840398085391,2019
201910270DAL,POR,1474.9907870272425,2019
201910270LAL,LAL,1543.1813627619208,2019
201910270LAL,CHO,1410.27390955811,2019
201910270MEM,MEM,1440.046508942273,2019
201910270MEM,BRK,1474.0883683241657,2019
201910270MIN,MIN,1665.5537994097183,2019
201910270MIN,MIA,1550.3048793089845,2019
201910270OKC,OKC,1569.2384901869127,2019
201910270OKC,GSW,1469.904836850596,2019
201910280ATL,ATL,1532.2251787679568,2019
201910280ATL,PHI,1651.2763298428483,2019
201910280DET,DET,1417.2191752712558,2019
201910280DET,IND,1485.2358625540571,2019
201910280HOU,HOU,1484.7451208781638,2019
201910280HOU,OKC,1555.209212777039,2019
201910280LAC,LAC,1606.4238627320417,2019
201910280LAC,CHO,1402.9247865605844,2019
201910280MIL,MIL,1612.5682896882038,2019
201910280MIL,CLE,1532.8594454634563,2019
201910280NOP,NOP,1424.2843862961836,2019
201910280NOP,GSW,1503.4265193110211,2019
201910280NYK,NYK,1521.311257361223,2019
201910280NYK,CHI,1455.8200638754763,2019
201910280PHO,PHO,1587.87219673975,2019
201910280PHO,UTA,1513.1968042670487,2019
201910280SAC,SAC,1425.9396316905998,2019
201910280SAC,DEN,1682.1255107821473,2019
201910280SAS,SAS,1587.1523276120802,2019
201910280SAS,POR,1470.0305852887236,2019
201910280TOR,TOR,1535.1149387281307,2019
201910280TOR,ORL,1532.7557454480802,2019
201910290DEN,DEN,1665.7392311188019,2019
201910290DEN,DAL,1617.2266777487364,2019
201910290LAL,LAL,1556.832140294506,2019
201910290LAL,MEM,1426.3957314096879,2019
201910290MIA,MIA,1569.917391654624,2019
201910290MIA,ATL,1512.6126664223173,2019
201910300BOS,BOS,1684.1346273209194,2019
201910300BOS,MIL,1597.6689580203913,2019
201910300BRK,BRK,1444.404652302116,2019
201910300BRK,IND,1514.919578576107,2019
201910300CLE,CLE,1542.7572844602712,2019
201910300CLE,CHI,1445.9222248786614,2019
201910300GSW,GSW,1481.4627518887755,2019
201910300GSW,PHO,1609.8359641619957,2019
201910300OKC,OKC,1536.4348105332333,2019
201910300OKC,POR,1488.8049875325294,2019
201910300ORL,ORL,1555.092126553055,2019
201910300ORL,NYK,1498.974876256248,2019
201910300PHI,PHI,1677.1665148390869,2019
201910300PHI,MIN,1639.6636144134798,2019
201910300SAC,SAC,1399.091482618023,2019
201910300SAC,CHO,1429.772935633161,2019
201910300TOR,TOR,1546.0630016400874,2019
201910300TOR,DET,1406.2711123592992,2019
201910300UTA,UTA,1540.3073781195724,2019
201910300UTA,LAC,1579.313288879518,2019
201910300WAS,WAS,1441.863611992485,2019
201910300WAS,HOU,1499.9136644640469,2019
201910310ATL,ATL,1488.284486588971,2019
201910310ATL,MIA,1594.2455714879702,2019
201910310LAC,LAC,1591.5652640505775,2019
201910310LAC,SAS,1574.9003524410207,2019
201910310NOP,NOP,1462.906930557075,2019
201910310NOP,DEN,1627.1166868579105,2019
201911010BOS,BOS,1685.0756746198883,2019
201911010BOS,NYK,1498.0338289572792,2019
201911010BRK,BRK,1461.9424326224398,2019
201911010BRK,HOU,1482.375884143723,2019
201911010CHI,CHI,1457.5131967992786,2019
201911010CHI,DET,1394.680140438682,2019
201911010DAL,DAL,1586.471870070169,2019
201911010DAL,LAL,1587.5869479730734,2019
201911010GSW,GSW,1456.1444016021223,2019
201911010GSW,SAS,1600.2187027276739,2019
201911010IND,IND,1533.5640719373368,2019
201911010IND,CLE,1524.1127910990413,2019
201911010ORL,ORL,1502.8045946601537,2019
201911010ORL,MIL,1649.9564899132927,2019
201911010SAC,SAC,1410.2191218053565,2019
201911010SAC,UTA,1529.179738932239,2019
201911020DET,DET,1407.9730604843346,2019
201911020DET,BRK,1448.6495125767872,2019
201911020GSW,GSW,1431.8503168824661,2019
201911020GSW,CHO,1454.0670203528173,2019
201911020MEM,MEM,1410.6564206864632,2019
201911020MEM,PHO,1625.5752748852203,2019
201911020MIL,MIL,1659.5085756982003,2019
201911020MIL,TOR,1536.5109158551797,2019
201911020OKC,OKC,1551.8756758282925,2019
201911020OKC,NOP,1447.4660652620157,2019
201911020ORL,ORL,1486.8423753472669,2019
201911020ORL,DEN,1643.0789061707974,2019
201911020POR,POR,1477.1037998332677,2019
201911020POR,PHI,1688.8677025383486,2019
201911020WAS,WAS,1418.6538547780217,2019
201911020WAS,MIN,1662.873371627943,2019
201911030CLE,CLE,1489.0916898767737,2019
201911030CLE,DAL,1621.4929712924368,2019
201911030IND,IND,1548.3380588868888,2019
201911030IND,CHI,1442.7392098497266,2019
201911030LAC,LAC,1604.1204346531824,2019
201911030LAC,UTA,1516.624568329634,2019
201911030MIA,MIA,1610.7812058464256,2019
201911030MIA,HOU,1465.8402497852676,2019
201911030NYK,NYK,1449.3754395578267,2019
201911030NYK,SAC,1458.877511204809,2019
201911030SAS,SAS,1568.2785833395608,2019
201911030SAS,LAL,1619.5270673611865,2019
201911040BRK,BRK,1466.3505006312662,2019
201911040BRK,NOP,1429.7650772075367,2019
201911040GSW,GSW,1446.4445418831644,2019
201911040GSW,POR,1462.5095748325693,2019
201911040MEM,MEM,1387.6804403576664,2019
201911040MEM,HOU,1488.8162301140644,2019
201911040MIN,MIN,1617.0995339239375,2019
201911040MIN,MIL,1705.2824134022057,2019
201911040PHO,PHO,1639.664465202018,2019
201911040PHO,PHI,1674.778512221551,2019
201911040WAS,WAS,1439.3237609267833,2019
201911040WAS,DET,1387.303154335573,2019
201911050ATL,ATL,1508.6323914603477,2019
201911050ATL,SAS,1547.9306784681842,2019
201911050CHI,CHI,1426.43425917113,2019
201911050CHI,LAL,1635.8320180397832,2019
201911050CHO,CHO,1466.1036481136198,2019
201911050CHO,IND,1536.3014311260863,2019
201911050CLE,CLE,1477.5492466775015,2019
201911050CLE,BOS,1696.6181178191605,2019
201911050DEN,DEN,1662.9133608081409,2019
201911050DEN,MIA,1590.946751209082,2019
201911050OKC,OKC,1565.3692444012356,2019
201911050OKC,ORL,1473.3488067743237,2019
201911060ATL,ATL,1461.0790305573062,2019
201911060ATL,CHI,1473.9876200741714,2019
201911060DAL,DAL,1624.4360151870635,2019
201911060DAL,ORL,1470.405762879697,2019
201911060DET,DET,1415.9815127923082,2019
201911060DET,NYK,1420.6970811010915,2019
201911060HOU,HOU,1510.3520567728606,2019
201911060HOU,GSW,1424.9087152243683,2019
201911060IND,IND,1550.2360231401751,2019
201911060IND,WAS,1425.3891689126945,2019
201911060LAC,LAC,1589.7038484333061,2019
201911060LAC,MIL,1719.698999622082,2019
201911060MEM,MEM,1427.048522803399,2019
201911060MEM,MIN,1577.731451478205,2019
201911060TOR,TOR,1541.1955181994963,2019
201911060TOR,SAC,1454.1929088604925,2019
201911060UTA,UTA,1533.7519871095283,2019
201911060UTA,PHI,1657.6510934416567,2019
201911070CHO,CHO,1444.9931548846487,2019
201911070CHO,BOS,1717.7286110481316,2019
201911070LAC,LAC,1595.9554114514299,2019
201911070LAC,POR,1456.2580118144456,2019
201911070PHO,PHO,1599.517202855805,2019
201911070PHO,MIA,1631.094013555295,2019
201911070SAS,SAS,1571.34050660886,2019
201911070SAS,OKC,1541.9594162605597,2019
201911080ATL,ATL,1427.641671595814,2019
201911080ATL,SAC,1487.6302678219847,2019
201911080DAL,DAL,1593.5460704808495,2019
201911080DAL,NYK,1451.5870258073055,2019
201911080DEN,DEN,1671.946989575076,2019
201911080DEN,PHI,1648.6174646747215,2019
201911080IND,IND,1558.5177358221574,2019
201911080IND,DET,1407.699800110326,2019
201911080LAL,LAL,1652.1114271521442,2019
201911080LAL,MIA,1614.814604442934,2019
201911080MIN,MIN,1585.7517503904267,2019
201911080MIN,GSW,1416.8884163121465,2019
201911080NOP,NOP,1400.530760280085,2019
201911080NOP,TOR,1570.429835126948,2019
201911080ORL,ORL,1498.2641529114385,2019
201911080ORL,MEM,1399.1901327716575,2019
201911080POR,POR,1435.1691601607029,2019
201911080POR,BRK,1487.439352285009,2019
201911080UTA,UTA,1544.8838423679097,2019
201911080UTA,MIL,1708.5671443637007,2019
201911080WAS,WAS,1394.0614006660617,2019
201911080WAS,CLE,1508.8770149241343,2019
201911090CHI,CHI,1435.2823316039628,2019
201911090CHI,HOU,1549.0573452430692,2019
201911090CHO,CHO,1423.6766841699339,2019
201911090CHO,NOP,1421.8472309947997,2019
201911090MEM,MEM,1377.2349260992232,2019
201911090MEM,DAL,1615.5012771532838,2019
201911090OKC,OKC,1551.84583117917,2019
201911090OKC,GSW,1407.0020013935361,2019
201911090SAS,SAS,1539.4159021355401,2019
201911090SAS,BOS,1749.6532155214516,2019
