game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,TOTAL
2024-11-15,202411150SAC,MIN,https://www.basketball-reference.com/boxscores/202411150SAC.html,32,30,36,17,15,130
2024-11-15,202411150SAC,SAC,https://www.basketball-reference.com/boxscores/202411150SAC.html,27,27,28,33,11,126
