game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct
2024-12-04,202412040LAC,MIN,Rudy Gobert,https://www.basketball-reference.com/boxscores/202412040LAC.html,29.47,3,4,.750,0,0,2,2,1.000,1,8,9,7,5,1,0,2,8,19.3,+21,
2024-12-04,202412040LAC,MIN,Anthony Edwards,https://www.basketball-reference.com/boxscores/202412040LAC.html,26.2,5,14,.357,4,9,2,2,1.000,1,5,6,4,4,0,2,3,16,14.0,+27,.444
2024-12-04,202412040LAC,MIN,Julius Randle,https://www.basketball-reference.com/boxscores/202412040LAC.html,26.15,8,16,.500,4,9,0,0,,0,4,4,4,1,0,1,2,20,15.2,+28,.444
2024-12-04,202412040LAC,MIN,Jaden McDaniels,https://www.basketball-reference.com/boxscores/202412040LAC.html,24.03,5,9,.556,1,2,0,0,,0,5,5,0,0,0,1,0,11,7.2,+13,.500
2024-12-04,202412040LAC,MIN,Mike Conley,https://www.basketball-reference.com/boxscores/202412040LAC.html,19.95,5,8,.625,1,4,0,0,,0,3,3,2,0,0,1,1,11,8.3,+13,.250
2024-12-04,202412040LAC,MIN,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202412040LAC.html,21.55,3,9,.333,2,7,0,0,,0,3,3,3,1,1,4,2,8,2.8,+10,.286
2024-12-04,202412040LAC,MIN,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202412040LAC.html,21.25,1,5,.200,1,4,0,0,,2,1,3,2,2,0,2,1,3,2.6,+9,.250
2024-12-04,202412040LAC,MIN,Josh Minott,https://www.basketball-reference.com/boxscores/202412040LAC.html,20.88,5,7,.714,1,3,2,3,.667,1,7,8,3,1,1,1,2,13,14.5,-1,.333
2024-12-04,202412040LAC,MIN,Naz Reid,https://www.basketball-reference.com/boxscores/202412040LAC.html,20.57,1,4,.250,0,2,2,2,1.000,0,4,4,1,0,2,1,1,4,3.5,+15,.000
2024-12-04,202412040LAC,MIN,Luka Garza,https://www.basketball-reference.com/boxscores/202412040LAC.html,7.82,4,5,.800,1,1,1,3,.333,2,1,3,0,1,0,0,1,10,9.6,0,1.000
2024-12-04,202412040LAC,MIN,PJ Dozier,https://www.basketball-reference.com/boxscores/202412040LAC.html,7.82,1,1,1.000,1,1,0,4,.000,0,0,0,2,0,0,0,0,3,2.5,0,1.000
2024-12-04,202412040LAC,MIN,Terrence Shannon Jr.,https://www.basketball-reference.com/boxscores/202412040LAC.html,7.82,0,2,.000,0,1,0,0,,0,0,0,2,0,0,0,0,0,0.0,0,.000
2024-12-04,202412040LAC,MIN,Daishen Nix,https://www.basketball-reference.com/boxscores/202412040LAC.html,6.5,0,1,.000,0,1,1,2,.500,0,2,2,1,0,0,1,1,1,-0.2,+5,.000
2024-12-04,202412040LAC,LAC,Derrick Jones Jr.,https://www.basketball-reference.com/boxscores/202412040LAC.html,28.27,5,12,.417,3,7,1,1,1.000,0,2,2,2,1,1,2,2,14,8.5,-26,.429
2024-12-04,202412040LAC,LAC,Amir Coffey,https://www.basketball-reference.com/boxscores/202412040LAC.html,27.67,5,8,.625,1,4,1,1,1.000,0,4,4,2,1,0,3,1,12,8.6,-35,.250
2024-12-04,202412040LAC,LAC,Ivica Zubac,https://www.basketball-reference.com/boxscores/202412040LAC.html,26.48,2,4,.500,0,0,0,0,,3,7,10,1,0,0,1,0,4,5.9,-24,
2024-12-04,202412040LAC,LAC,James Harden,https://www.basketball-reference.com/boxscores/202412040LAC.html,24.5,1,10,.100,1,6,2,2,1.000,0,3,3,3,0,0,4,0,5,-2.6,-27,.167
2024-12-04,202412040LAC,LAC,Kris Dunn,https://www.basketball-reference.com/boxscores/202412040LAC.html,23.85,1,8,.125,0,3,0,0,,1,5,6,0,1,0,2,1,2,-2.4,-20,.000
2024-12-04,202412040LAC,LAC,Jordan Miller,https://www.basketball-reference.com/boxscores/202412040LAC.html,24.4,4,11,.364,0,2,0,0,,3,1,4,1,0,0,0,3,8,3.8,-7,.000
2024-12-04,202412040LAC,LAC,Bones Hyland,https://www.basketball-reference.com/boxscores/202412040LAC.html,22.85,5,12,.417,5,10,3,4,.750,0,4,4,2,0,0,5,2,18,8.0,+1,.500
2024-12-04,202412040LAC,LAC,Cam Christie,https://www.basketball-reference.com/boxscores/202412040LAC.html,17.78,2,7,.286,1,4,0,0,,1,2,3,0,2,0,1,0,5,3.2,+8,.250
2024-12-04,202412040LAC,LAC,Kai Jones,https://www.basketball-reference.com/boxscores/202412040LAC.html,15.68,0,0,,0,0,3,4,.750,1,4,5,1,2,1,1,2,3,6.1,+11,
2024-12-04,202412040LAC,LAC,Trentyn Flowers,https://www.basketball-reference.com/boxscores/202412040LAC.html,14.35,4,9,.444,0,2,1,1,1.000,1,3,4,0,0,0,1,3,9,3.7,+11,.000
2024-12-04,202412040LAC,LAC,Nicolas Batum,https://www.basketball-reference.com/boxscores/202412040LAC.html,8.33,0,1,.000,0,1,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-17,.000
2024-12-04,202412040LAC,LAC,Mo Bamba,https://www.basketball-reference.com/boxscores/202412040LAC.html,5.83,0,1,.000,0,1,0,0,,0,1,1,1,0,0,0,1,0,-0.1,-15,.000
