game_date,game_id,team,url,pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
2025-04-03,202504030BRK,MIN,https://www.basketball-reference.com/boxscores/202504030BRK.html,92.6,0.583,17.1,27.8,0.179,113.4
2025-04-03,202504030BRK,BRK,https://www.basketball-reference.com/boxscores/202504030BRK.html,92.6,0.489,11.7,18.6,0.034,97.2
