game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct
2022-04-27,202204270MIL,CHI,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202204270MIL.html,42.95,5,10,.500,0,0,1,2,.500,0,2,2,7,3,0,2,2,11,11.3,-15,
2022-04-27,202204270MIL,CHI,Nikola Vučević,https://www.basketball-reference.com/boxscores/202204270MIL.html,36.97,8,15,.533,3,9,0,0,,2,14,16,6,0,2,3,5,19,17.9,-18,.333
2022-04-27,202204270MIL,CHI,Patrick Williams,https://www.basketball-reference.com/boxscores/202204270MIL.html,34.52,9,13,.692,4,7,1,2,.500,1,0,1,0,0,1,4,2,23,13.7,-24,.571
2022-04-27,202204270MIL,CHI,Javonte Green,https://www.basketball-reference.com/boxscores/202204270MIL.html,26.62,1,8,.125,0,5,1,2,.500,1,1,2,2,7,0,4,3,3,1.6,-2,.000
2022-04-27,202204270MIL,CHI,Ayo Dosunmu,https://www.basketball-reference.com/boxscores/202204270MIL.html,22.48,3,11,.273,1,4,1,1,1.000,1,2,3,1,0,0,0,1,8,3.1,-12,.250
2022-04-27,202204270MIL,CHI,Coby White,https://www.basketball-reference.com/boxscores/202204270MIL.html,31.55,6,16,.375,4,13,1,1,1.000,0,3,3,4,1,0,1,0,17,11.9,-15,.308
2022-04-27,202204270MIL,CHI,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202204270MIL.html,22.67,4,11,.364,2,9,0,0,,1,5,6,3,1,0,2,1,10,6.8,+2,.222
2022-04-27,202204270MIL,CHI,Derrick Jones Jr.,https://www.basketball-reference.com/boxscores/202204270MIL.html,13.85,3,8,.375,1,5,2,3,.667,0,1,1,0,0,0,0,4,9,2.9,-2,.200
2022-04-27,202204270MIL,CHI,Tristan Thompson,https://www.basketball-reference.com/boxscores/202204270MIL.html,6.73,0,0,,0,0,0,0,,0,2,2,0,0,0,0,0,0,0.6,+1,
2022-04-27,202204270MIL,CHI,Tony Bradley,https://www.basketball-reference.com/boxscores/202204270MIL.html,1.67,0,0,,0,0,0,0,,0,1,1,1,0,0,0,0,0,1.0,+5,
2022-04-27,202204270MIL,MIL,Jrue Holiday,https://www.basketball-reference.com/boxscores/202204270MIL.html,35.98,4,14,.286,1,7,1,2,.500,1,4,5,9,0,0,6,0,10,3.6,+17,.143
2022-04-27,202204270MIL,MIL,Bobby Portis,https://www.basketball-reference.com/boxscores/202204270MIL.html,31.73,6,13,.462,2,7,0,0,,2,15,17,1,0,0,3,2,14,10.1,+12,.286
2022-04-27,202204270MIL,MIL,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202204270MIL.html,30.12,11,15,.733,0,1,11,14,.786,1,8,9,3,0,0,2,1,33,28.5,+18,.000
2022-04-27,202204270MIL,MIL,Brook Lopez,https://www.basketball-reference.com/boxscores/202204270MIL.html,29.3,4,8,.500,0,0,4,4,1.000,1,4,5,0,0,2,1,3,12,9.1,+10,
2022-04-27,202204270MIL,MIL,Wesley Matthews,https://www.basketball-reference.com/boxscores/202204270MIL.html,27.25,3,6,.500,2,4,0,0,,0,1,1,4,4,0,0,1,8,11.7,+16,.500
2022-04-27,202204270MIL,MIL,Grayson Allen,https://www.basketball-reference.com/boxscores/202204270MIL.html,27.27,5,10,.500,3,6,0,0,,0,5,5,1,1,0,2,2,13,8.4,+6,.500
2022-04-27,202204270MIL,MIL,Pat Connaughton,https://www.basketball-reference.com/boxscores/202204270MIL.html,23.35,7,11,.636,6,9,0,0,,0,2,2,1,0,0,1,1,20,15.0,+14,.667
2022-04-27,202204270MIL,MIL,Jevon Carter,https://www.basketball-reference.com/boxscores/202204270MIL.html,21.33,3,6,.500,0,1,0,0,,2,1,3,4,5,0,0,2,6,11.7,+17,.000
2022-04-27,202204270MIL,MIL,Serge Ibaka,https://www.basketball-reference.com/boxscores/202204270MIL.html,6.97,0,4,.000,0,1,0,0,,0,2,2,0,0,0,1,0,0,-3.2,-10,.000
2022-04-27,202204270MIL,MIL,Thanasis Antetokounmpo,https://www.basketball-reference.com/boxscores/202204270MIL.html,1.7,0,0,,0,0,0,0,,0,2,2,0,0,0,0,0,0,0.6,-5,
2022-04-27,202204270MIL,MIL,Jordan Nwora,https://www.basketball-reference.com/boxscores/202204270MIL.html,1.67,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,
2022-04-27,202204270MIL,MIL,Rayjon Tucker,https://www.basketball-reference.com/boxscores/202204270MIL.html,1.67,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,
2022-04-27,202204270MIL,MIL,Luca Vildoza,https://www.basketball-reference.com/boxscores/202204270MIL.html,1.67,0,0,,0,0,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5,
