game_date,game_id,team,quarter,player,url,mp,fg,fga,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg_pct,fg3_pct
2025-03-05,202503050WAS,UTA,Q1,Isaiah Collier,https://www.basketball-reference.com/boxscores/202503050WAS.html,6.78,0,0,0,0,1,2,.500,0,1,1,1,0,0,2,2,1,-1.2,-6,,
2025-03-05,202503050WAS,UTA,Q1,Brice Sensabaugh,https://www.basketball-reference.com/boxscores/202503050WAS.html,6.93,3,4,1,2,1,1,1.000,0,1,1,0,0,0,1,0,8,5.7,-6,.750,.500
2025-03-05,202503050WAS,UTA,Q1,Johnny Juzang,https://www.basketball-reference.com/boxscores/202503050WAS.html,9.77,4,6,1,3,0,0,,0,3,3,2,0,0,1,1,9,7.3,+7,.667,.333
2025-03-05,202503050WAS,UTA,Q1,Kyle Filipowski,https://www.basketball-reference.com/boxscores/202503050WAS.html,6.93,2,5,1,3,0,0,,1,1,2,0,0,1,1,0,5,3.0,-6,.400,.333
2025-03-05,202503050WAS,UTA,Q1,KJ Martin,https://www.basketball-reference.com/boxscores/202503050WAS.html,6.78,1,2,0,0,0,0,,0,1,1,1,0,0,0,0,2,2.0,-6,.500,
2025-03-05,202503050WAS,UTA,Q1,Cody Williams,https://www.basketball-reference.com/boxscores/202503050WAS.html,7.3,0,2,0,1,0,0,,1,0,1,1,0,0,0,1,0,-0.4,-1,.000,.000
2025-03-05,202503050WAS,UTA,Q1,Micah Potter,https://www.basketball-reference.com/boxscores/202503050WAS.html,5.22,1,1,0,0,0,0,,1,0,1,0,0,0,0,0,2,2.4,+6,1.000,
2025-03-05,202503050WAS,UTA,Q1,Oscar Tshiebwe,https://www.basketball-reference.com/boxscores/202503050WAS.html,5.07,1,2,0,0,0,0,,2,4,6,0,0,0,0,0,2,3.6,+6,.500,
2025-03-05,202503050WAS,UTA,Q1,Svi Mykhailiuk,https://www.basketball-reference.com/boxscores/202503050WAS.html,5.22,1,5,1,3,0,0,,0,0,0,3,0,0,0,0,3,2.0,+6,.200,.333
2025-03-05,202503050WAS,UTA,Q2,Isaiah Collier,https://www.basketball-reference.com/boxscores/202503050WAS.html,9.15,3,5,0,1,0,0,,0,2,2,2,0,0,0,0,6,5.7,-3,.600,.000
2025-03-05,202503050WAS,UTA,Q2,Brice Sensabaugh,https://www.basketball-reference.com/boxscores/202503050WAS.html,9.45,0,4,0,3,0,0,,1,0,1,1,0,0,0,0,0,-1.4,-9,.000,.000
2025-03-05,202503050WAS,UTA,Q2,Johnny Juzang,https://www.basketball-reference.com/boxscores/202503050WAS.html,2.85,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0.3,-4,,
2025-03-05,202503050WAS,UTA,Q2,Kyle Filipowski,https://www.basketball-reference.com/boxscores/202503050WAS.html,7.75,4,5,0,0,2,3,.667,1,2,3,0,0,0,0,0,10,9.0,-1,.800,
2025-03-05,202503050WAS,UTA,Q2,KJ Martin,https://www.basketball-reference.com/boxscores/202503050WAS.html,7.75,0,1,0,1,0,0,,0,3,3,0,0,0,0,0,0,0.2,-1,.000,.000
2025-03-05,202503050WAS,UTA,Q2,Cody Williams,https://www.basketball-reference.com/boxscores/202503050WAS.html,9.15,1,2,1,2,2,2,1.000,0,1,1,0,0,0,2,0,5,2.3,-3,.500,.500
2025-03-05,202503050WAS,UTA,Q2,Micah Potter,https://www.basketball-reference.com/boxscores/202503050WAS.html,5.4,0,1,0,1,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-2,.000,.000
2025-03-05,202503050WAS,UTA,Q2,Oscar Tshiebwe,https://www.basketball-reference.com/boxscores/202503050WAS.html,4.25,1,2,0,0,0,0,,0,2,2,0,0,0,0,0,2,1.6,-6,.500,
2025-03-05,202503050WAS,UTA,Q2,Svi Mykhailiuk,https://www.basketball-reference.com/boxscores/202503050WAS.html,4.25,0,2,0,1,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-6,.000,.000
2025-03-05,202503050WAS,UTA,Q3,Isaiah Collier,https://www.basketball-reference.com/boxscores/202503050WAS.html,7.65,3,4,0,0,1,3,.333,1,1,2,1,1,0,2,1,7,4.9,-1,.750,
2025-03-05,202503050WAS,UTA,Q3,Brice Sensabaugh,https://www.basketball-reference.com/boxscores/202503050WAS.html,9.42,2,6,1,3,2,2,1.000,0,1,1,2,0,1,2,2,7,3.2,-1,.333,.333
2025-03-05,202503050WAS,UTA,Q3,Johnny Juzang,https://www.basketball-reference.com/boxscores/202503050WAS.html,5.07,2,4,1,2,0,0,,1,1,2,0,0,0,0,2,5,3.2,-4,.500,.500
2025-03-05,202503050WAS,UTA,Q3,Kyle Filipowski,https://www.basketball-reference.com/boxscores/202503050WAS.html,7.07,1,2,0,0,0,0,,1,3,4,0,0,0,0,1,2,2.2,+1,.500,
