game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,OT2,TOTAL
2022-02-25,202202250WAS,SAS,https://www.basketball-reference.com/boxscores/202202250WAS.html,30,45,26,29,15,12,157
2022-02-25,202202250WAS,WAS,https://www.basketball-reference.com/boxscores/202202250WAS.html,33,38,29,30,15,8,153
