game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct
2023-01-24,202301240IND,CHI,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202301240IND.html,39.6,14,21,.667,0,0,5,5,1.000,1,4,5,3,0,1,1,5,33,25.6,-9,
2023-01-24,202301240IND,CHI,Zach LaVine,https://www.basketball-reference.com/boxscores/202301240IND.html,38.35,4,14,.286,0,7,6,7,.857,1,2,3,4,0,0,6,2,14,2.7,-3,.000
2023-01-24,202301240IND,CHI,Nikola Vučević,https://www.basketball-reference.com/boxscores/202301240IND.html,32.72,9,14,.643,2,2,0,0,,0,8,8,5,0,2,3,2,20,17.3,+2,1.000
2023-01-24,202301240IND,CHI,Patrick Williams,https://www.basketball-reference.com/boxscores/202301240IND.html,27.7,2,5,.400,1,3,2,2,1.000,0,5,5,0,1,1,1,2,7,5.7,+2,.333
2023-01-24,202301240IND,CHI,Ayo Dosunmu,https://www.basketball-reference.com/boxscores/202301240IND.html,24.62,3,7,.429,0,3,1,2,.500,1,3,4,3,1,0,2,1,7,5.2,+4,.000
2023-01-24,202301240IND,CHI,Alex Caruso,https://www.basketball-reference.com/boxscores/202301240IND.html,28.4,0,3,.000,0,1,4,4,1.000,2,5,7,1,1,0,2,5,4,2.5,-13,.000
2023-01-24,202301240IND,CHI,Coby White,https://www.basketball-reference.com/boxscores/202301240IND.html,22.7,3,11,.273,2,7,0,0,,0,3,3,3,2,0,0,3,8,5.3,-8,.286
2023-01-24,202301240IND,CHI,Derrick Jones Jr.,https://www.basketball-reference.com/boxscores/202301240IND.html,20.22,5,9,.556,0,1,0,0,,3,2,5,0,0,1,0,2,10,8.3,+2,.000
2023-01-24,202301240IND,CHI,Andre Drummond,https://www.basketball-reference.com/boxscores/202301240IND.html,5.7,3,4,.750,0,0,1,5,.200,3,2,5,0,0,0,1,1,7,5.1,-7,
2023-01-24,202301240IND,IND,T.J. McConnell,https://www.basketball-reference.com/boxscores/202301240IND.html,40.53,9,14,.643,1,1,1,1,1.000,1,2,3,10,3,0,2,0,20,23.1,+9,1.000
2023-01-24,202301240IND,IND,Buddy Hield,https://www.basketball-reference.com/boxscores/202301240IND.html,38.53,5,14,.357,4,11,5,5,1.000,1,4,5,4,4,3,1,1,19,20.6,+5,.364
2023-01-24,202301240IND,IND,Myles Turner,https://www.basketball-reference.com/boxscores/202301240IND.html,32.2,11,21,.524,2,7,2,4,.500,2,5,7,0,0,1,0,3,26,17.3,+5,.286
2023-01-24,202301240IND,IND,Aaron Nesmith,https://www.basketball-reference.com/boxscores/202301240IND.html,28.6,0,7,.000,0,2,3,4,.750,2,4,6,2,1,2,1,5,3,1.1,+1,.000
2023-01-24,202301240IND,IND,Chris Duarte,https://www.basketball-reference.com/boxscores/202301240IND.html,26.28,2,11,.182,2,8,5,5,1.000,2,7,9,3,1,0,2,2,11,7.9,-3,.250
2023-01-24,202301240IND,IND,Bennedict Mathurin,https://www.basketball-reference.com/boxscores/202301240IND.html,34.2,10,17,.588,1,5,5,7,.714,1,6,7,2,0,0,0,2,26,20.4,+9,.200
2023-01-24,202301240IND,IND,Terry Taylor,https://www.basketball-reference.com/boxscores/202301240IND.html,20.37,5,11,.455,0,1,1,2,.500,4,1,5,1,0,1,0,3,11,8.2,+3,.000
2023-01-24,202301240IND,IND,Isaiah Jackson,https://www.basketball-reference.com/boxscores/202301240IND.html,7.32,0,0,,0,0,0,0,,0,1,1,1,0,3,0,2,0,2.3,+2,
2023-01-24,202301240IND,IND,Jalen Smith,https://www.basketball-reference.com/boxscores/202301240IND.html,6.0,0,1,.000,0,0,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-1,
2023-01-24,202301240IND,IND,Trevelin Queen,https://www.basketball-reference.com/boxscores/202301240IND.html,5.97,0,3,.000,0,2,0,0,,0,1,1,1,0,0,0,2,0,-1.9,0,.000
