game_date,game_id,team,url,Q1,Q2,Q3,Q4,TOTAL
2020-02-12,202002120UTA,MIA,https://www.basketball-reference.com/boxscores/202002120UTA.html,28,24,22,27,101
2020-02-12,202002120UTA,UTA,https://www.basketball-reference.com/boxscores/202002120UTA.html,25,22,32,37,116
