game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2024-11-25,202411250SAC,OKC,Luguentz Dort,https://www.basketball-reference.com/boxscores/202411250SAC.html,39.45,0,2,.000,0,0,0,0,2,8,10,2,2,1,0,2,0,5.7,+20,,
2024-11-25,202411250SAC,OKC,Shai Gilgeous-Alexander,https://www.basketball-reference.com/boxscores/202411250SAC.html,34.63,13,20,.650,4,7,7,11,0,4,4,11,0,0,6,2,37,28.7,+15,.571,.636
2024-11-25,202411250SAC,OKC,Jalen Williams,https://www.basketball-reference.com/boxscores/202411250SAC.html,32.1,10,16,.625,3,7,5,5,0,4,4,5,2,1,5,3,28,22.0,+16,.429,1.000
2024-11-25,202411250SAC,OKC,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202411250SAC.html,31.5,9,15,.600,0,0,1,1,3,7,10,4,0,0,1,5,19,16.1,+18,,1.000
2024-11-25,202411250SAC,OKC,Aaron Wiggins,https://www.basketball-reference.com/boxscores/202411250SAC.html,21.5,3,6,.500,1,2,1,2,1,3,4,0,1,0,2,2,8,4.4,+4,.500,.500
2024-11-25,202411250SAC,OKC,Isaiah Joe,https://www.basketball-reference.com/boxscores/202411250SAC.html,21.25,3,10,.300,3,8,0,0,1,0,1,1,0,0,1,1,9,3.2,+16,.375,
2024-11-25,202411250SAC,OKC,Ajay Mitchell,https://www.basketball-reference.com/boxscores/202411250SAC.html,17.78,5,7,.714,1,1,2,2,0,0,0,1,0,0,0,1,13,10.4,0,1.000,1.000
2024-11-25,202411250SAC,OKC,Kenrich Williams,https://www.basketball-reference.com/boxscores/202411250SAC.html,14.97,2,2,1.000,2,2,4,4,1,4,5,4,0,0,0,1,10,13.7,+8,1.000,1.000
2024-11-25,202411250SAC,OKC,Cason Wallace,https://www.basketball-reference.com/boxscores/202411250SAC.html,14.55,2,4,.500,0,1,0,0,1,0,1,0,1,1,0,0,4,4.4,+7,.000,
2024-11-25,202411250SAC,OKC,Dillon Jones,https://www.basketball-reference.com/boxscores/202411250SAC.html,6.47,0,1,.000,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.1,-1,.000,
2024-11-25,202411250SAC,OKC,Adam Flagler,https://www.basketball-reference.com/boxscores/202411250SAC.html,3.07,0,2,.000,0,2,0,0,0,1,1,0,0,0,0,0,0,-1.1,0,.000,
2024-11-25,202411250SAC,OKC,Branden Carlson,https://www.basketball-reference.com/boxscores/202411250SAC.html,2.73,1,1,1.000,0,0,0,0,2,2,4,0,0,0,0,0,2,3.7,+2,,
2024-11-25,202411250SAC,SAC,De'Aaron Fox,https://www.basketball-reference.com/boxscores/202411250SAC.html,39.68,5,15,.333,1,6,3,4,0,3,3,5,1,0,4,4,14,4.9,-22,.167,.750
2024-11-25,202411250SAC,SAC,Keegan Murray,https://www.basketball-reference.com/boxscores/202411250SAC.html,38.4,6,15,.400,2,8,0,0,6,4,10,2,2,1,2,1,14,13.0,-18,.250,
2024-11-25,202411250SAC,SAC,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202411250SAC.html,35.52,13,21,.619,0,2,4,4,0,2,2,6,1,0,0,1,30,25.9,-14,.000,1.000
2024-11-25,202411250SAC,SAC,Domantas Sabonis,https://www.basketball-reference.com/boxscores/202411250SAC.html,35.03,7,11,.636,1,2,6,8,2,8,10,3,3,1,4,5,21,18.9,-13,.500,.750
2024-11-25,202411250SAC,SAC,Keon Ellis,https://www.basketball-reference.com/boxscores/202411250SAC.html,27.7,3,4,.750,2,3,0,0,0,1,1,3,1,0,0,3,8,8.6,-5,.667,
2024-11-25,202411250SAC,SAC,Malik Monk,https://www.basketball-reference.com/boxscores/202411250SAC.html,26.0,4,12,.333,2,7,4,6,0,1,1,3,1,1,1,5,14,7.5,-19,.286,.667
2024-11-25,202411250SAC,SAC,Kevin Huerter,https://www.basketball-reference.com/boxscores/202411250SAC.html,10.4,0,2,.000,0,2,0,0,0,1,1,0,0,0,0,2,0,-1.9,-9,.000,
2024-11-25,202411250SAC,SAC,Isaac Jones,https://www.basketball-reference.com/boxscores/202411250SAC.html,9.43,3,3,1.000,0,0,0,1,1,1,2,0,0,1,1,0,6,5.4,-11,,.000
2024-11-25,202411250SAC,SAC,Trey Lyles,https://www.basketball-reference.com/boxscores/202411250SAC.html,5.57,1,1,1.000,0,0,0,0,0,0,0,2,1,0,0,0,2,4.1,+6,,
2024-11-25,202411250SAC,SAC,Colby Jones,https://www.basketball-reference.com/boxscores/202411250SAC.html,3.07,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,
2024-11-25,202411250SAC,SAC,Alex Len,https://www.basketball-reference.com/boxscores/202411250SAC.html,3.07,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0,,
2024-11-25,202411250SAC,SAC,Doug McDermott,https://www.basketball-reference.com/boxscores/202411250SAC.html,3.07,0,2,.000,0,2,0,0,0,1,1,0,0,0,0,0,0,-1.1,0,.000,
2024-11-25,202411250SAC,SAC,Jordan McLaughlin,https://www.basketball-reference.com/boxscores/202411250SAC.html,3.07,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4,0,,
