game_date,game_id,team,url,Q1,Q2,Q3,Q4,TOTAL
2020-01-25,202001250CLE,CHI,https://www.basketball-reference.com/boxscores/202001250CLE.html,25,34,40,19,118
2020-01-25,202001250CLE,CLE,https://www.basketball-reference.com/boxscores/202001250CLE.html,31,26,19,30,106
