game_date,game_id,team,quarter,player,url,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg_pct,ft_pct,fg3_pct
2021-04-30,202104300PHI,ATL,Q1,Solomon Hill,https://www.basketball-reference.com/boxscores/202104300PHI.html,11.05,0,0,0,0,0,0,1,3,4,0,0,1,1,0,0,1.3,+4,,,
2021-04-30,202104300PHI,ATL,Q1,Trae Young,https://www.basketball-reference.com/boxscores/202104300PHI.html,9.08,4,6,0,0,2,2,0,0,0,1,0,0,1,0,10,7.1,+7,.667,1.000,
2021-04-30,202104300PHI,ATL,Q1,John Collins,https://www.basketball-reference.com/boxscores/202104300PHI.html,9.08,1,3,0,1,0,0,0,1,1,1,0,1,0,0,2,2.0,+7,.333,,.000
2021-04-30,202104300PHI,ATL,Q1,Tony Snell,https://www.basketball-reference.com/boxscores/202104300PHI.html,7.25,1,3,1,2,0,0,1,1,2,0,0,1,0,1,3,2.6,+11,.333,,.500
2021-04-30,202104300PHI,ATL,Q1,Clint Capela,https://www.basketball-reference.com/boxscores/202104300PHI.html,5.45,2,6,0,0,0,0,3,3,6,1,1,0,0,2,4,4.5,+9,.333,,
2021-04-30,202104300PHI,ATL,Q1,Danilo Gallinari,https://www.basketball-reference.com/boxscores/202104300PHI.html,3.73,1,1,1,1,0,0,0,0,0,1,0,0,1,1,3,2.0,-8,1.000,,1.000
2021-04-30,202104300PHI,ATL,Q1,Lou Williams,https://www.basketball-reference.com/boxscores/202104300PHI.html,4.75,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,-2.2,-8,.000,.000,
2021-04-30,202104300PHI,ATL,Q1,Onyeka Okongwu,https://www.basketball-reference.com/boxscores/202104300PHI.html,5.73,2,2,0,0,0,0,0,0,0,0,0,0,0,2,4,2.6,-2,1.000,,
2021-04-30,202104300PHI,ATL,Q1,Kris Dunn,https://www.basketball-reference.com/boxscores/202104300PHI.html,2.92,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1.0,-4,,,
2021-04-30,202104300PHI,ATL,Q1,Brandon Goodwin,https://www.basketball-reference.com/boxscores/202104300PHI.html,0.95,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7,-1,.000,,.000
2021-04-30,202104300PHI,ATL,Q2,Solomon Hill,https://www.basketball-reference.com/boxscores/202104300PHI.html,8.95,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,-0.4,-14,.000,,.000
2021-04-30,202104300PHI,ATL,Q2,Trae Young,https://www.basketball-reference.com/boxscores/202104300PHI.html,8.95,1,4,0,2,4,4,0,1,1,1,0,0,2,1,6,2.2,-14,.250,1.000,.000
2021-04-30,202104300PHI,ATL,Q2,John Collins,https://www.basketball-reference.com/boxscores/202104300PHI.html,8.95,3,7,2,4,1,1,0,1,1,0,0,1,0,2,9,5.5,-14,.429,1.000,.500
2021-04-30,202104300PHI,ATL,Q2,Tony Snell,https://www.basketball-reference.com/boxscores/202104300PHI.html,6.2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,3,3.7,-9,1.000,,1.000
2021-04-30,202104300PHI,ATL,Q2,Clint Capela,https://www.basketball-reference.com/boxscores/202104300PHI.html,1.23,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,-1.2,-4,,.000,
2021-04-30,202104300PHI,ATL,Q2,Danilo Gallinari,https://www.basketball-reference.com/boxscores/202104300PHI.html,10.77,0,3,0,1,2,2,0,1,1,1,0,0,0,1,2,0.5,-18,.000,1.000,.000
2021-04-30,202104300PHI,ATL,Q2,Lou Williams,https://www.basketball-reference.com/boxscores/202104300PHI.html,6.8,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,-2.8,-15,.000,,.000
2021-04-30,202104300PHI,ATL,Q2,Onyeka Okongwu,https://www.basketball-reference.com/boxscores/202104300PHI.html,3.05,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,-8,,,
2021-04-30,202104300PHI,ATL,Q2,Kris Dunn,https://www.basketball-reference.com/boxscores/202104300PHI.html,3.05,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.7,-8,,,
2021-04-30,202104300PHI,ATL,Q2,Brandon Goodwin,https://www.basketball-reference.com/boxscores/202104300PHI.html,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4,-6,,,
2021-04-30,202104300PHI,ATL,Q3,Solomon Hill,https://www.basketball-reference.com/boxscores/202104300PHI.html,12.0,0,0,0,0,3,4,1,3,4,0,0,0,2,2,3,1.4,+2,,.750,
2021-04-30,202104300PHI,ATL,Q3,Trae Young,https://www.basketball-reference.com/boxscores/202104300PHI.html,10.2,5,9,2,4,4,4,0,0,0,2,0,0,1,0,16,12.1,0,.556,1.000,.500
2021-04-30,202104300PHI,ATL,Q3,John Collins,https://www.basketball-reference.com/boxscores/202104300PHI.html,8.13,0,1,0,1,0,0,0,2,2,0,0,0,2,0,0,-2.1,-2,.000,,.000
2021-04-30,202104300PHI,ATL,Q3,Tony Snell,https://www.basketball-reference.com/boxscores/202104300PHI.html,7.48,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0.7,-4,.000,,.000
2021-04-30,202104300PHI,ATL,Q3,Clint Capela,https://www.basketball-reference.com/boxscores/202104300PHI.html,10.2,3,5,0,0,1,1,3,6,9,0,0,0,0,0,7,8.6,0,.600,1.000,
2021-04-30,202104300PHI,ATL,Q3,Danilo Gallinari,https://www.basketball-reference.com/boxscores/202104300PHI.html,3.87,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,2.3,+4,1.000,,1.000
2021-04-30,202104300PHI,ATL,Q3,Lou Williams,https://www.basketball-reference.com/boxscores/202104300PHI.html,4.52,0,0,0,0,2,2,0,2,2,0,0,1,1,0,2,2.3,+6,,1.000,
2021-04-30,202104300PHI,ATL,Q3,Onyeka Okongwu,https://www.basketball-reference.com/boxscores/202104300PHI.html,1.8,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,+2,.000,,.000
2021-04-30,202104300PHI,ATL,Q3,Kris Dunn,https://www.basketball-reference.com/boxscores/202104300PHI.html,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,+2,,,
2021-04-30,202104300PHI,ATL,Q4,Solomon Hill,https://www.basketball-reference.com/boxscores/202104300PHI.html,3.58,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-0.7,-3,,,
2021-04-30,202104300PHI,ATL,Q4,Tony Snell,https://www.basketball-reference.com/boxscores/202104300PHI.html,3.07,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,-4,,,
2021-04-30,202104300PHI,ATL,Q4,Danilo Gallinari,https://www.basketball-reference.com/boxscores/202104300PHI.html,6.1,3,5,2,3,0,0,0,0,0,0,0,0,0,0,8,5.7,-7,.600,,.667
2021-04-30,202104300PHI,ATL,Q4,Lou Williams,https://www.basketball-reference.com/boxscores/202104300PHI.html,6.1,0,3,0,0,0,0,0,1,1,2,0,0,0,0,0,-0.4,-7,.000,,
2021-04-30,202104300PHI,ATL,Q4,Onyeka Okongwu,https://www.basketball-reference.com/boxscores/202104300PHI.html,10.97,3,4,0,0,2,2,1,1,2,0,0,1,0,3,8,6.9,-5,.750,1.000,
2021-04-30,202104300PHI,ATL,Q4,Kris Dunn,https://www.basketball-reference.com/boxscores/202104300PHI.html,6.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1.4,-7,,,
2021-04-30,202104300PHI,ATL,Q4,Brandon Goodwin,https://www.basketball-reference.com/boxscores/202104300PHI.html,5.9,1,2,0,0,0,0,0,2,2,2,0,0,2,2,2,0.2,+2,.500,,
