game_date,game_id,team,player,url,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg
2021-05-21,202105210GSW,MEM,Ja Morant,https://www.basketball-reference.com/boxscores/202105210GSW.html,45:45,.586,.569,.345,.069,4.4,11.0,7.3,29.2,4.4,0.0,14.3,33.0,112,105
2021-05-21,202105210GSW,MEM,Dillon Brooks,https://www.basketball-reference.com/boxscores/202105210GSW.html,45:04,.318,.318,.182,.000,2.2,2.8,2.5,11.1,2.2,0.0,4.3,22.1,78,112
2021-05-21,202105210GSW,MEM,Kyle Anderson,https://www.basketball-reference.com/boxscores/202105210GSW.html,39:01,.489,.286,.143,.714,5.1,25.9,14.3,21.9,1.3,4.5,0.0,10.2,142,105
2021-05-21,202105210GSW,MEM,Jonas Valančiūnas,https://www.basketball-reference.com/boxscores/202105210GSW.html,25:33,.580,.583,.167,.667,23.5,29.6,26.2,18.4,0.0,0.0,27.9,18.2,113,109
2021-05-21,202105210GSW,MEM,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202105210GSW.html,14:56,.525,.250,.667,1.333,13.4,0.0,7.5,0.0,0.0,11.8,9.5,30.5,117,110
2021-05-21,202105210GSW,MEM,Desmond Bane,https://www.basketball-reference.com/boxscores/202105210GSW.html,29:20,.484,.389,.556,.333,0.0,17.2,7.6,10.5,0.0,0.0,8.8,16.7,105,113
2021-05-21,202105210GSW,MEM,Grayson Allen,https://www.basketball-reference.com/boxscores/202105210GSW.html,25:18,.750,.750,.625,.000,0.0,20.0,8.8,6.6,7.9,3.5,20.0,17.1,116,93
2021-05-21,202105210GSW,MEM,Xavier Tillman Sr.,https://www.basketball-reference.com/boxscores/202105210GSW.html,23:08,.619,.625,.375,.250,13.0,21.8,16.9,7.4,6.5,3.8,0.0,16.6,143,95
2021-05-21,202105210GSW,MEM,De'Anthony Melton,https://www.basketball-reference.com/boxscores/202105210GSW.html,9:40,.833,.833,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,163,117
2021-05-21,202105210GSW,MEM,Tyus Jones,https://www.basketball-reference.com/boxscores/202105210GSW.html,7:15,1.136,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,250,117
2021-05-21,202105210GSW,GSW,Stephen Curry,https://www.basketball-reference.com/boxscores/202105210GSW.html,47:23,.627,.571,.536,.250,2.7,6.3,4.7,20.4,3.2,0.0,18.4,34.4,107,112
2021-05-21,202105210GSW,GSW,Draymond Green,https://www.basketball-reference.com/boxscores/202105210GSW.html,45:05,.500,.500,.091,.000,2.8,33.3,19.8,32.5,1.1,1.9,35.3,16.1,88,104
2021-05-21,202105210GSW,GSW,Andrew Wiggins,https://www.basketball-reference.com/boxscores/202105210GSW.html,44:18,.490,.477,.182,.045,2.8,20.3,12.6,8.0,0.0,3.8,8.2,23.6,97,111
2021-05-21,202105210GSW,GSW,Kent Bazemore,https://www.basketball-reference.com/boxscores/202105210GSW.html,25:30,.363,.375,.417,.333,4.9,11.8,8.8,12.3,3.9,3.3,0.0,23.1,88,106
2021-05-21,202105210GSW,GSW,Kevon Looney,https://www.basketball-reference.com/boxscores/202105210GSW.html,24:27,.798,1.000,.000,2.000,15.5,4.1,9.1,16.3,2.1,3.4,34.7,5.0,144,114
2021-05-21,202105210GSW,GSW,Jordan Poole,https://www.basketball-reference.com/boxscores/202105210GSW.html,37:54,.745,.682,.455,.364,0.0,7.9,4.4,16.6,0.0,2.2,7.3,15.5,146,118
2021-05-21,202105210GSW,GSW,Juan Toscano-Anderson,https://www.basketball-reference.com/boxscores/202105210GSW.html,31:41,.340,.200,.400,.400,15.9,9.5,12.3,16.6,0.0,2.7,40.5,13.4,79,117
2021-05-21,202105210GSW,GSW,Mychal Mulder,https://www.basketball-reference.com/boxscores/202105210GSW.html,8:42,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,100,123
