game_date,game_id,team,url,pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
2022-01-28,202201280OKC,IND,https://www.basketball-reference.com/boxscores/202201280OKC.html,95.7,0.5,16.3,36.5,0.189,106.9
2022-01-28,202201280OKC,OKC,https://www.basketball-reference.com/boxscores/202201280OKC.html,95.7,0.526,12.0,19.6,0.105,104.1
