game_date,game_id,team,quarter,player,url,mp,fg,fga,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg_pct,fg3_pct
2023-12-23,202312230NYK,NYK,Q1,RJ Barrett,https://www.basketball-reference.com/boxscores/202312230NYK.html,8.45,1,4,0,0,1,2,.500,0,2,2,0,0,0,0,0,3,0.8,-7,.250,
2023-12-23,202312230NYK,NYK,Q1,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202312230NYK.html,7.5,2,4,2,4,0,0,,0,0,0,1,1,0,1,1,6,4.3,-5,.500,.500
2023-12-23,202312230NYK,NYK,Q1,Josh Hart,https://www.basketball-reference.com/boxscores/202312230NYK.html,6.48,0,0,0,0,0,0,,0,0,0,0,1,0,1,1,0,-0.4,-8,,
2023-12-23,202312230NYK,NYK,Q1,Immanuel Quickley,https://www.basketball-reference.com/boxscores/202312230NYK.html,4.5,0,1,0,1,0,0,,0,0,0,1,0,0,0,0,0,0.0,-4,.000,.000
2023-12-23,202312230NYK,NYK,Q1,Quentin Grimes,https://www.basketball-reference.com/boxscores/202312230NYK.html,1.95,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0.3,0,,
2023-12-23,202312230NYK,NYK,Q1,Taj Gibson,https://www.basketball-reference.com/boxscores/202312230NYK.html,10.0,1,2,0,1,0,0,,1,0,1,1,0,0,0,1,2,2.0,-7,.500,.000
2023-12-23,202312230NYK,NYK,Q2,Jalen Brunson,https://www.basketball-reference.com/boxscores/202312230NYK.html,8.2,5,8,0,1,2,2,1.000,0,1,1,0,0,0,0,0,12,8.7,-1,.625,.000
2023-12-23,202312230NYK,NYK,Q2,Julius Randle,https://www.basketball-reference.com/boxscores/202312230NYK.html,8.77,1,3,0,0,5,5,1.000,0,2,2,0,0,0,0,1,7,5.5,+9,.333,
2023-12-23,202312230NYK,NYK,Q2,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202312230NYK.html,11.25,1,2,0,0,0,0,,0,1,1,0,0,0,0,0,2,1.3,-3,.500,
2023-12-23,202312230NYK,NYK,Q2,RJ Barrett,https://www.basketball-reference.com/boxscores/202312230NYK.html,6.28,0,3,0,1,0,0,,0,1,1,1,0,0,0,0,0,-1.1,+4,.000,.000
2023-12-23,202312230NYK,NYK,Q2,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202312230NYK.html,4.97,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,+7,,
2023-12-23,202312230NYK,NYK,Q2,Josh Hart,https://www.basketball-reference.com/boxscores/202312230NYK.html,7.03,0,2,0,1,0,0,,0,2,2,1,0,0,0,1,0,-0.5,-6,.000,.000
2023-12-23,202312230NYK,NYK,Q2,Immanuel Quickley,https://www.basketball-reference.com/boxscores/202312230NYK.html,5.72,1,3,0,1,2,2,1.000,0,0,0,0,0,0,0,0,4,2.3,-3,.333,.000
2023-12-23,202312230NYK,NYK,Q2,Quentin Grimes,https://www.basketball-reference.com/boxscores/202312230NYK.html,7.03,1,1,0,0,0,0,,0,1,1,0,1,0,0,2,2,2.2,-6,1.000,
2023-12-23,202312230NYK,NYK,Q2,Taj Gibson,https://www.basketball-reference.com/boxscores/202312230NYK.html,0.75,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4,,
2023-12-23,202312230NYK,NYK,Q3,Jalen Brunson,https://www.basketball-reference.com/boxscores/202312230NYK.html,12.0,6,8,2,2,1,1,1.000,0,1,1,2,0,1,2,2,15,11.4,-5,.750,1.000
2023-12-23,202312230NYK,NYK,Q3,Julius Randle,https://www.basketball-reference.com/boxscores/202312230NYK.html,9.08,2,4,0,1,4,4,1.000,0,1,1,0,0,0,1,2,8,4.5,-8,.500,.000
2023-12-23,202312230NYK,NYK,Q3,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202312230NYK.html,12.0,0,0,0,0,2,2,1.000,3,4,7,1,1,0,1,0,2,6.0,-5,,
2023-12-23,202312230NYK,NYK,Q3,RJ Barrett,https://www.basketball-reference.com/boxscores/202312230NYK.html,6.57,0,3,0,2,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-5,.000,.000
2023-12-23,202312230NYK,NYK,Q3,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202312230NYK.html,7.57,1,2,1,2,0,0,,1,1,2,0,0,0,0,2,3,2.2,-6,.500,.500
2023-12-23,202312230NYK,NYK,Q3,Josh Hart,https://www.basketball-reference.com/boxscores/202312230NYK.html,5.43,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,2,1.7,0,1.000,
2023-12-23,202312230NYK,NYK,Q3,Immanuel Quickley,https://www.basketball-reference.com/boxscores/202312230NYK.html,4.43,1,2,1,1,0,0,,0,0,0,0,0,0,0,0,3,2.0,+1,.500,1.000
2023-12-23,202312230NYK,NYK,Q3,Quentin Grimes,https://www.basketball-reference.com/boxscores/202312230NYK.html,2.92,0,2,0,1,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+3,.000,.000
2023-12-23,202312230NYK,NYK,Q4,Jalen Brunson,https://www.basketball-reference.com/boxscores/202312230NYK.html,7.03,0,4,0,1,0,0,,0,0,0,2,0,0,1,0,0,-2.4,-1,.000,.000
2023-12-23,202312230NYK,NYK,Q4,Julius Randle,https://www.basketball-reference.com/boxscores/202312230NYK.html,7.03,3,3,0,0,0,0,,1,1,2,1,0,0,1,0,6,5.8,-1,1.000,
2023-12-23,202312230NYK,NYK,Q4,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202312230NYK.html,7.75,2,2,0,0,2,2,1.000,2,1,3,0,0,0,0,2,6,6.3,-4,1.000,
2023-12-23,202312230NYK,NYK,Q4,RJ Barrett,https://www.basketball-reference.com/boxscores/202312230NYK.html,7.78,4,7,2,2,0,0,,1,3,4,0,0,1,1,0,10,8.0,0,.571,1.000
2023-12-23,202312230NYK,NYK,Q4,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202312230NYK.html,3.87,1,1,0,0,0,0,,0,0,0,1,0,0,0,0,2,2.4,+2,1.000,
2023-12-23,202312230NYK,NYK,Q4,Josh Hart,https://www.basketball-reference.com/boxscores/202312230NYK.html,7.08,0,3,0,2,0,0,,0,0,0,2,0,0,0,1,0,-1.1,-5,.000,.000
2023-12-23,202312230NYK,NYK,Q4,Immanuel Quickley,https://www.basketball-reference.com/boxscores/202312230NYK.html,7.08,0,2,0,2,0,0,,0,2,2,0,0,0,1,1,0,-2.2,-5,.000,.000
2023-12-23,202312230NYK,NYK,Q4,Quentin Grimes,https://www.basketball-reference.com/boxscores/202312230NYK.html,3.92,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,,
2023-12-23,202312230NYK,NYK,Q4,Taj Gibson,https://www.basketball-reference.com/boxscores/202312230NYK.html,3.92,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2,,
2023-12-23,202312230NYK,NYK,Q4,Ryan Arcidiacono,https://www.basketball-reference.com/boxscores/202312230NYK.html,1.05,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3,,
2023-12-23,202312230NYK,NYK,Q4,Charlie Brown Jr.,https://www.basketball-reference.com/boxscores/202312230NYK.html,1.05,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3,.000,.000
2023-12-23,202312230NYK,NYK,Q4,Miles McBride,https://www.basketball-reference.com/boxscores/202312230NYK.html,1.05,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0.3,-3,,
2023-12-23,202312230NYK,NYK,Q4,Dmytro Skapintsev,https://www.basketball-reference.com/boxscores/202312230NYK.html,1.05,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3,.000,
2023-12-23,202312230NYK,NYK,Q4,Jacob Toppin,https://www.basketball-reference.com/boxscores/202312230NYK.html,0.33,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,,
