game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,OT2,TOTAL
2020-08-08,202008080DEN,UTA,https://www.basketball-reference.com/boxscores/202008080DEN.html,29,34,25,17,14,13,132
2020-08-08,202008080DEN,DEN,https://www.basketball-reference.com/boxscores/202008080DEN.html,15,34,30,26,14,15,134
