game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2022-02-04,202202040CHO,CLE,Evan Mobley,https://www.basketball-reference.com/boxscores/202202040CHO.html,37.5,4,13,.308,0,0,0,0,1,7,8,5,2,0,2,1,8,6.4,+2,,
2022-02-04,202202040CHO,CLE,Brandon Goodwin,https://www.basketball-reference.com/boxscores/202202040CHO.html,36.07,4,14,.286,4,9,0,0,1,4,5,9,4,0,5,2,12,10.2,+9,.444,
2022-02-04,202202040CHO,CLE,Isaac Okoro,https://www.basketball-reference.com/boxscores/202202040CHO.html,36.05,3,7,.429,1,4,2,2,0,2,2,4,0,0,0,3,9,7.5,0,.250,1.000
2022-02-04,202202040CHO,CLE,Jarrett Allen,https://www.basketball-reference.com/boxscores/202202040CHO.html,33.88,12,20,.600,0,0,5,7,11,11,22,2,1,0,1,1,29,31.0,-5,,.714
2022-02-04,202202040CHO,CLE,Cedi Osman,https://www.basketball-reference.com/boxscores/202202040CHO.html,15.45,2,8,.250,1,4,0,0,0,1,1,1,0,0,0,2,5,0.4,-5,.250,
2022-02-04,202202040CHO,CLE,Dean Wade,https://www.basketball-reference.com/boxscores/202202040CHO.html,31.8,2,4,.500,2,3,2,3,0,1,1,1,0,0,2,1,8,4.2,+2,.667,.667
2022-02-04,202202040CHO,CLE,Kevin Love,https://www.basketball-reference.com/boxscores/202202040CHO.html,25.77,7,18,.389,6,14,5,5,1,8,9,1,0,0,1,3,25,16.8,+12,.429,1.000
2022-02-04,202202040CHO,CLE,Rajon Rondo,https://www.basketball-reference.com/boxscores/202202040CHO.html,17.23,1,5,.200,0,1,0,0,1,1,2,2,0,0,0,1,2,0.9,-5,.000,
2022-02-04,202202040CHO,CLE,Lamar Stevens,https://www.basketball-reference.com/boxscores/202202040CHO.html,6.25,1,1,1.000,0,0,2,3,0,1,1,1,0,0,1,3,4,2.1,-5,,.667
2022-02-04,202202040CHO,CHO,Terry Rozier,https://www.basketball-reference.com/boxscores/202202040CHO.html,39.93,9,21,.429,4,14,2,2,1,2,3,4,0,0,0,2,24,16.2,+6,.286,1.000
2022-02-04,202202040CHO,CHO,Miles Bridges,https://www.basketball-reference.com/boxscores/202202040CHO.html,37.43,5,8,.625,0,1,2,2,1,6,7,7,1,0,0,3,12,15.6,-3,.000,1.000
2022-02-04,202202040CHO,CHO,LaMelo Ball,https://www.basketball-reference.com/boxscores/202202040CHO.html,31.82,5,14,.357,2,3,3,3,1,5,6,3,0,0,6,5,15,3.5,-20,.667,1.000
2022-02-04,202202040CHO,CHO,Mason Plumlee,https://www.basketball-reference.com/boxscores/202202040CHO.html,31.78,4,6,.667,0,0,0,0,3,7,10,5,3,0,1,6,8,12.7,-9,,
2022-02-04,202202040CHO,CHO,Gordon Hayward,https://www.basketball-reference.com/boxscores/202202040CHO.html,29.18,3,13,.231,1,5,0,0,1,4,5,3,3,0,4,3,7,0.9,-2,.200,
2022-02-04,202202040CHO,CHO,Kelly Oubre Jr.,https://www.basketball-reference.com/boxscores/202202040CHO.html,27.92,7,19,.368,4,13,3,3,3,6,9,1,1,1,2,2,21,14.0,+9,.308,1.000
2022-02-04,202202040CHO,CHO,P.J. Washington,https://www.basketball-reference.com/boxscores/202202040CHO.html,26.2,3,4,.750,2,3,0,0,3,6,9,1,1,0,0,0,8,12.0,+13,.667,
2022-02-04,202202040CHO,CHO,Cody Martin,https://www.basketball-reference.com/boxscores/202202040CHO.html,15.73,2,7,.286,1,4,1,2,2,1,3,3,0,1,1,1,6,4.6,+1,.250,.500
