game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2023-01-24,202301240NYK,CLE,Jarrett Allen,https://www.basketball-reference.com/boxscores/202301240NYK.html,38.78,12,17,.706,0,0,0,0,1,11,12,1,0,1,2,1,24,19.9,+15,,
2023-01-24,202301240NYK,CLE,Donovan Mitchell,https://www.basketball-reference.com/boxscores/202301240NYK.html,38.28,9,24,.375,6,14,0,0,2,6,8,8,4,1,0,4,24,22.7,+12,.429,
2023-01-24,202301240NYK,CLE,Evan Mobley,https://www.basketball-reference.com/boxscores/202301240NYK.html,37.7,6,11,.545,0,1,0,0,1,6,7,3,1,2,3,4,12,9.1,0,.000,
2023-01-24,202301240NYK,CLE,Darius Garland,https://www.basketball-reference.com/boxscores/202301240NYK.html,34.8,6,17,.353,2,6,8,10,1,3,4,6,2,0,1,0,22,18.5,+20,.333,.800
2023-01-24,202301240NYK,CLE,Isaac Okoro,https://www.basketball-reference.com/boxscores/202301240NYK.html,30.62,3,5,.600,1,3,2,3,3,3,6,5,0,0,1,4,9,10.2,+18,.333,.667
2023-01-24,202301240NYK,CLE,Caris LeVert,https://www.basketball-reference.com/boxscores/202301240NYK.html,20.82,3,6,.500,2,4,1,3,1,1,2,3,0,0,1,1,9,6.9,-19,.500,.333
2023-01-24,202301240NYK,CLE,Ricky Rubio,https://www.basketball-reference.com/boxscores/202301240NYK.html,13.42,1,4,.250,1,3,0,0,0,0,0,2,1,0,2,2,3,0.2,-26,.333,
2023-01-24,202301240NYK,CLE,Kevin Love,https://www.basketball-reference.com/boxscores/202301240NYK.html,12.08,0,1,.000,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-20,.000,
2023-01-24,202301240NYK,CLE,Lamar Stevens,https://www.basketball-reference.com/boxscores/202301240NYK.html,6.25,0,1,.000,0,0,0,0,1,1,2,0,0,0,0,1,0,-0.1,-6,,
2023-01-24,202301240NYK,CLE,Dean Wade,https://www.basketball-reference.com/boxscores/202301240NYK.html,4.43,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.8,-1,,
2023-01-24,202301240NYK,CLE,Cedi Osman,https://www.basketball-reference.com/boxscores/202301240NYK.html,2.82,0,1,.000,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7,-3,.000,
2023-01-24,202301240NYK,NYK,Julius Randle,https://www.basketball-reference.com/boxscores/202301240NYK.html,37.63,11,21,.524,8,12,6,7,4,9,13,4,0,0,5,3,36,27.4,-10,.667,.857
2023-01-24,202301240NYK,NYK,Quentin Grimes,https://www.basketball-reference.com/boxscores/202301240NYK.html,36.38,4,9,.444,2,7,0,0,0,1,1,3,0,1,2,1,10,6.0,-10,.286,
2023-01-24,202301240NYK,NYK,Jalen Brunson,https://www.basketball-reference.com/boxscores/202301240NYK.html,35.63,5,13,.385,1,3,3,4,0,2,2,4,1,0,1,3,14,8.7,-11,.333,.750
2023-01-24,202301240NYK,NYK,RJ Barrett,https://www.basketball-reference.com/boxscores/202301240NYK.html,32.58,5,12,.417,3,5,3,4,1,3,4,1,1,1,1,4,16,10.6,0,.600,.750
2023-01-24,202301240NYK,NYK,Jericho Sims,https://www.basketball-reference.com/boxscores/202301240NYK.html,25.2,1,1,1.000,0,0,0,0,1,3,4,0,0,0,2,1,2,0.9,-9,,
2023-01-24,202301240NYK,NYK,Immanuel Quickley,https://www.basketball-reference.com/boxscores/202301240NYK.html,27.28,4,8,.500,1,2,0,1,0,5,5,6,1,0,2,2,9,8.5,+14,.500,.000
2023-01-24,202301240NYK,NYK,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202301240NYK.html,22.8,2,3,.667,0,0,0,0,3,6,9,4,1,1,2,1,4,8.7,+11,,
2023-01-24,202301240NYK,NYK,Miles McBride,https://www.basketball-reference.com/boxscores/202301240NYK.html,12.12,1,2,.500,0,1,1,3,0,1,1,3,0,0,0,3,3,2.4,+13,.000,.333
2023-01-24,202301240NYK,NYK,Obi Toppin,https://www.basketball-reference.com/boxscores/202301240NYK.html,10.37,4,6,.667,2,3,1,2,0,3,3,0,0,0,0,0,11,8.9,+12,.667,.500
