Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Paul George,30.0,SF,19,19,776,20.0,0.578,0.406,0.412,2.6,24.4,13.6,21.8,1.3,1.3,13.2,30.5,1.1,0.8,1.9,0.116,2.5,0.0,2.5,0.9,
2.0,Reggie Jackson,30.0,SG,19,17,622,17.3,0.626,0.563,0.163,1.3,9.7,5.6,16.9,1.5,0.5,9.4,22.3,1.3,0.4,1.7,0.129,2.6,0.3,2.9,0.8,
3.0,Marcus Morris,31.0,PF,19,18,604,11.6,0.542,0.48,0.16,2.5,12.8,7.8,6.9,0.9,1.6,3.2,17.0,0.6,0.4,0.9,0.074,-0.4,-0.8,-1.2,0.1,
4.0,Nicolas Batum,32.0,SF,19,10,555,14.9,0.642,0.661,0.211,4.0,17.7,10.9,9.8,2.2,1.8,4.8,10.5,1.2,0.6,1.8,0.155,2.0,2.2,4.3,0.9,
5.0,Kawhi Leonard,29.0,SF,11,11,432,30.6,0.679,0.286,0.352,6.0,16.6,11.4,20.9,2.8,2.0,8.9,29.1,2.0,0.5,2.5,0.277,8.1,2.6,10.7,1.4,
6.0,Terance Mann,24.0,SG,19,6,378,14.1,0.619,0.356,0.269,5.3,10.6,8.0,5.5,1.4,1.3,3.3,14.8,0.8,0.2,1.0,0.133,-0.2,0.0,-0.2,0.2,
7.0,Patrick Beverley,32.0,PG,17,7,323,12.0,0.56,0.544,0.206,4.0,10.6,7.3,10.3,1.9,3.6,5.1,11.3,0.5,0.3,0.8,0.116,-0.4,1.9,1.6,0.3,
8.0,Ivica Zubac,23.0,C,17,7,301,17.6,0.681,0.0,0.86,16.8,21.2,19.0,3.3,0.3,3.9,16.9,14.6,0.8,0.3,1.1,0.177,0.2,-0.4,-0.3,0.1,
9.0,Rajon Rondo,34.0,PG,13,0,220,10.6,0.472,0.528,0.226,2.1,15.5,8.9,31.0,1.2,1.3,19.4,15.3,0.1,0.2,0.2,0.054,-1.6,-1.1,-2.7,0.0,
10.0,Luke Kennard,24.0,SG,15,0,219,11.0,0.638,0.785,0.031,2.7,4.7,3.7,4.7,0.5,0.0,4.4,14.6,0.4,0.0,0.4,0.084,1.3,-1.5,-0.2,0.1,
11.0,DeMarcus Cousins,30.0,C,7,0,58,25.6,0.55,0.238,0.333,12.2,15.7,14.0,17.7,1.8,5.0,9.4,42.7,0.1,0.1,0.1,0.115,0.6,-0.3,0.4,0.0,
12.0,Serge Ibaka,31.0,C,2,0,18,30.7,0.644,0.333,0.667,6.5,19.0,12.9,17.1,2.9,16.2,11.4,22.7,0.1,0.0,0.1,0.285,5.0,7.0,12.0,0.1,
13.0,Amir Coffey,23.0,SG,10,0,16,18.1,0.788,0.25,0.25,0.0,14.3,7.2,10.0,3.2,0.0,18.4,15.8,0.0,0.0,0.0,0.117,3.1,3.7,6.7,0.0,
14.0,Yogi Ferrell,27.0,PG,9,0,15,11.5,0.4,0.2,0.0,0.0,22.8,11.6,29.4,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.049,-2.2,0.0,-2.2,0.0,
15.0,Daniel Oturu,21.0,C,8,0,15,12.1,0.425,0.2,0.4,15.7,15.2,15.4,0.0,0.0,6.5,0.0,18.3,0.0,0.0,0.0,0.056,-3.8,-2.2,-6.0,0.0,
16.0,Jay Scrubb,20.0,SG,6,0,8,1.6,,,,0.0,14.3,7.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.013,-4.6,-0.4,-5.0,0.0,
,Team Totals,,,19,19,4560,,0.604,0.444,0.29,,,,,,,,,8.8,3.9,12.7,0.133,1.7,0.5,2.2,4.8,
