Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82.0,19705,3535,7352,0.481,1197,3242,0.369,2338,4110,0.569,1397,1842,0.758,797,2724,3521,2106,563,406,1027,1500,9664
Team/G,,240.3,43.1,89.7,0.481,14.6,39.5,0.369,28.5,50.1,0.569,17.0,22.5,0.758,9.7,33.2,42.9,25.7,6.9,5.0,12.5,18.3,117.9
Lg Rank,,26,9,12,11.0,3,2,13.0,22,29,4.0,15,11,27.0,23,14,21,19,24,17,4,10,7
Year/Year,,-1.1%,7.7%,6.4%,0.006,-3.9%,-3.6%,-0.001,14.8%,15.9%,-0.005,-10.1%,-10.5%,0.003,27.5%,6.6%,10.7%,12.0%,9.5%,33.6%,2.5%,-11.6%,3.2%
Opponent,82.0,19705,3522,7413,0.475,1075,2921,0.368,2447,4492,0.545,1364,1772,0.77,896,2800,3696,2258,603,331,1127,1667,9483
Opponent/G,,240.3,43.0,90.4,0.475,13.1,35.6,0.368,29.8,54.8,0.545,16.6,21.6,0.77,10.9,34.1,45.1,27.5,7.4,4.0,13.7,20.3,115.6
Lg Rank,,26,20,21,20.0,20,18,18.0,21,21,17.0,12,15,4.0,21,25,25,22,16,2,15,2,20
Year/Year,,-1.1%,2.8%,4.9%,-0.01,17.7%,12.5%,0.016,-2.6%,0.5%,-0.017,-14.6%,-13.4%,-0.011,8.0%,-1.3%,0.8%,10.5%,15.5%,6.1%,4.8%,-6.8%,1.3%
