Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Nicolas Batum,34.0,PF,5,3,92,0.421,1.0,0.353,0.579,,0.579,0.0,0.895,89.0,183.0,98.0,106.0,,100.0,0.0,231.0,
2.0,Brandon Boston Jr.,21.0,SF,1,0,1,,,,,,,,,,,,,,,,,
3.0,Amir Coffey,25.0,SF,1,0,1,,,,,,,,,,,,,,,,,
4.0,Robert Covington,32.0,PF,2,0,12,0.0,0.0,0.0,0.0,,0.0,0.0,0.667,0.0,0.0,0.0,0.0,,0.0,0.0,172.0,
5.0,Eric Gordon,34.0,SG,5,5,149,0.409,0.533,0.345,0.523,0.833,0.547,0.136,0.659,86.0,97.0,96.0,96.0,107.0,94.0,51.0,170.0,
6.0,Bones Hyland,22.0,PG,5,0,82,0.341,0.417,0.25,0.398,0.8,0.444,0.227,0.455,72.0,76.0,69.0,73.0,102.0,76.0,85.0,117.0,
7.0,Kawhi Leonard,31.0,SF,2,2,80,0.545,0.529,0.6,0.614,0.882,0.67,0.386,0.227,115.0,97.0,166.0,113.0,113.0,115.0,145.0,59.0,
8.0,Terance Mann,26.0,SG,5,0,133,0.576,0.714,0.474,0.712,0.667,0.717,0.273,0.576,121.0,130.0,131.0,131.0,85.0,123.0,102.0,149.0,
9.0,Marcus Morris,33.0,PF,3,2,68,0.345,0.471,0.167,0.379,1.0,0.423,0.138,0.414,73.0,86.0,46.0,70.0,128.0,73.0,52.0,107.0,
10.0,Mason Plumlee,32.0,C,5,0,91,0.875,0.875,,0.875,0.929,0.925,0.875,0.0,184.0,160.0,,160.0,119.0,159.0,328.0,0.0,
11.0,Norman Powell,29.0,SG,5,3,167,0.474,0.523,0.406,0.559,0.774,0.608,0.408,0.421,100.0,95.0,113.0,103.0,99.0,105.0,153.0,109.0,
12.0,Jason Preston,23.0,PG,1,0,1,,,,,,,,,,,,,,,,,
13.0,Russell Westbrook,34.0,PG,5,5,192,0.41,0.429,0.357,0.457,0.88,0.509,0.238,0.267,86.0,78.0,99.0,84.0,113.0,88.0,89.0,69.0,
14.0,Ivica Zubac,25.0,C,5,5,130,0.567,0.567,,0.567,0.75,0.621,0.533,0.0,119.0,103.0,,104.0,96.0,107.0,200.0,0.0,
,Team Totals,,,5,5,1199,0.46,0.522,0.361,0.529,0.826,0.577,0.298,0.381,97.0,95.0,100.0,97.0,106.0,99.0,112.0,98.0,
