Rk,Unnamed: 1,Salary
1,Kawhi Leonard,"$42,492,492"
2,Paul George,"$42,492,492"
3,Eric Gordon,"$19,568,360"
4,Norman Powell,"$16,758,621"
5,Marcus Morris,"$16,372,093"
6,Robert Covington,"$12,307,692"
7,Nicolas Batum,"$10,843,350"
8,Ivica Zubac,"$10,123,457"
9,Mason Plumlee,"$9,080,417"
10,Amir Coffey,"$3,395,062"
11,Bones Hyland,"$2,201,520"
12,Terance Mann,"$1,930,681"
13,Brandon Boston,"$1,563,518"
14,Jason Preston,"$1,563,518"
15,Russell Westbrook,"$495,955"
16,Moussa Diabaté,
17,Moses Brown,
18,Nate Darling,
19,Keaton Wallace,
20,Xavier Moon,
