Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Jayson Tatum,23.0,24,24,983,201,472,0.426,77,196,0.393,124,276,0.449,0.507,136,170,0.8,24,137,161,148,29,21,100,72,615,0,
2.0,Jaylen Brown,25.0,24,24,920,197,419,0.47,60,161,0.373,137,258,0.531,0.542,100,131,0.763,33,133,166,85,27,10,74,71,554,0,
3.0,Al Horford,35.0,23,23,815,101,193,0.523,47,98,0.48,54,95,0.568,0.645,28,36,0.778,35,179,214,76,19,31,29,64,277,0,
4.0,Marcus Smart,27.0,21,21,760,113,279,0.405,48,137,0.35,65,142,0.458,0.491,50,62,0.806,20,75,95,123,26,5,52,71,324,0,
5.0,Grant Williams,23.0,24,5,654,65,150,0.433,35,89,0.393,30,61,0.492,0.55,42,52,0.808,23,68,91,19,8,18,20,83,207,0,
6.0,Derrick White,27.0,23,3,585,64,176,0.364,26,83,0.313,38,93,0.409,0.438,42,51,0.824,8,62,70,61,21,13,29,46,196,0,
7.0,Robert Williams,24.0,17,15,394,53,78,0.679,0,1,0.0,53,77,0.688,0.679,25,28,0.893,43,62,105,17,12,38,10,34,131,0,
8.0,Payton Pritchard,24.0,24,0,309,43,102,0.422,24,72,0.333,19,30,0.633,0.539,4,6,0.667,10,36,46,38,6,2,9,23,114,0,
9.0,Daniel Theis,29.0,16,5,200,30,51,0.588,3,14,0.214,27,37,0.73,0.618,6,8,0.75,13,39,52,11,4,8,11,25,69,0,
10.0,Aaron Nesmith,22.0,15,0,52,4,17,0.235,1,11,0.091,3,6,0.5,0.265,3,4,0.75,4,11,15,3,2,4,1,6,12,0,
11.0,Nik Stauskas,28.0,13,0,24,3,12,0.25,3,10,0.3,0,2,0.0,0.375,4,4,1.0,0,4,4,4,0,0,0,0,13,0,
12.0,Luke Kornet,26.0,9,0,19,3,4,0.75,1,1,1.0,2,3,0.667,0.875,0,0,,1,4,5,1,0,0,1,1,7,0,
13.0,Malik Fitts,24.0,9,0,16,3,4,0.75,2,2,1.0,1,2,0.5,1.0,0,0,,0,2,2,0,0,0,0,0,8,0,
14.0,Sam Hauser,24.0,7,0,15,1,4,0.25,1,3,0.333,0,1,0.0,0.375,2,2,1.0,0,1,1,2,0,0,0,0,5,0,
15.0,Juwan Morgan,24.0,9,0,15,0,1,0.0,0,1,0.0,0,0,,0.0,1,2,0.5,2,1,3,0,0,0,0,1,1,0,
,Team Totals,,24,24,5761,881,1962,0.449,328,879,0.373,553,1083,0.511,0.533,443,556,0.797,216,814,1030,588,154,150,336,497,2533,0,
