Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Jaylen Brown,25.0,SF,24,24,920,0.47,0.531,0.373,0.542,0.763,0.581,0.313,0.384,102,100.0,105,102,99.0,103,126,96,
2.0,Malik Fitts,24.0,PF,9,0,16,0.75,0.5,1.0,1.0,,1.0,0.0,0.5,163,94.0,283,188,,177,0,125,
3.0,Sam Hauser,24.0,SF,7,0,15,0.25,0.0,0.333,0.375,1.0,0.512,0.5,0.75,54,0.0,94,71,129.0,91,201,188,
4.0,Al Horford,35.0,C,23,23,815,0.523,0.568,0.48,0.645,0.778,0.663,0.187,0.508,113,107.0,136,121,100.0,117,75,127,
5.0,Luke Kornet,26.0,C,9,0,19,0.75,0.667,1.0,0.875,,0.875,0.0,0.25,163,125.0,283,165,,155,0,63,
6.0,Juwan Morgan,24.0,PF,9,0,15,0.0,,0.0,0.0,0.5,0.266,2.0,1.0,0,,0,0,65.0,47,806,250,
7.0,Aaron Nesmith,22.0,SF,15,0,52,0.235,0.5,0.091,0.265,0.75,0.32,0.235,0.647,51,94.0,26,50,97.0,57,95,162,
8.0,Payton Pritchard,24.0,PG,24,0,309,0.422,0.633,0.333,0.539,0.667,0.545,0.059,0.706,91,119.0,94,101,86.0,96,24,177,
9.0,Marcus Smart,27.0,PG,21,21,760,0.405,0.458,0.35,0.491,0.806,0.529,0.222,0.491,88,86.0,99,92,104.0,93,90,123,
10.0,Nik Stauskas,28.0,SG,13,0,24,0.25,0.0,0.3,0.375,1.0,0.472,0.333,0.833,54,0.0,85,71,129.0,83,134,209,
11.0,Jayson Tatum,23.0,SF,24,24,983,0.426,0.449,0.393,0.507,0.8,0.562,0.36,0.415,92,84.0,111,95,103.0,99,145,104,
12.0,Daniel Theis,29.0,C,16,5,200,0.588,0.73,0.214,0.618,0.75,0.633,0.157,0.275,128,137.0,61,116,97.0,112,63,69,
13.0,Derrick White,27.0,SG,23,3,585,0.364,0.409,0.313,0.438,0.824,0.494,0.29,0.472,79,77.0,89,82,106.0,87,117,118,
14.0,Grant Williams,23.0,PF,24,5,654,0.433,0.492,0.393,0.55,0.808,0.599,0.347,0.593,94,92.0,111,103,104.0,106,140,149,
15.0,Robert Williams,24.0,C,17,15,394,0.679,0.688,0.0,0.679,0.893,0.725,0.359,0.013,147,129.0,0,128,115.0,128,145,3,
,Team Totals,,,24,24,5761,0.449,0.511,0.373,0.533,0.797,0.574,0.283,0.448,97,96.0,106,100,103.0,101,114,112,
