Rk,Unnamed: 1,Salary
1,Anthony Davis,"$43,219,440"
2,Kyrie Irving,"$41,000,000"
3,Klay Thompson,"$15,873,016"
4,P.J. Washington,"$15,500,000"
5,Daniel Gafford,"$13,394,160"
6,Caleb Martin,"$9,186,594"
7,Naji Marshall,"$8,571,429"
8,Max Christie,"$7,142,857"
9,Dereck Lively,"$5,014,560"
10,Dwight Powell,"$4,000,000"
11,Dante Exum,"$3,150,000"
12,Olivier-Maxence Prosper,"$2,870,400"
13,JaVale McGee,"$2,208,856"
14,Spencer Dinwiddie,"$2,087,519"
15,Jaden Hardy,"$2,019,699"
16,Moses Brown,"$119,972"
17,Brandon Williams,"$47,989"
18,Kessler Edwards,
19,A.J. Lawson,
20,Kylor Kelley,
21,Jazian Gortman,
22,Kai Jones,
23,Brandon Williams,
