Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Jayson Tatum,22.0,SF,5,5,37.0,9.4,22.2,0.423,2.8,7.2,0.389,6.6,15.0,0.44,0.486,9.0,9.8,0.918,0.6,5.2,5.8,4.6,1.2,1.6,2.6,3.0,30.6,
2.0,Marcus Smart,26.0,PG,5,5,36.6,5.8,13.2,0.439,3.2,8.6,0.372,2.6,4.6,0.565,0.561,3.0,4.2,0.714,0.8,3.6,4.4,6.0,1.0,0.2,2.8,2.8,17.8,
3.0,Evan Fournier,28.0,SF,5,5,33.4,5.4,12.6,0.429,2.6,6.0,0.433,2.8,6.6,0.424,0.532,2.0,2.4,0.833,1.0,2.6,3.6,1.4,1.2,0.0,1.0,4.0,15.4,
4.0,Kemba Walker,30.0,PG,3,3,30.3,4.3,13.7,0.317,1.0,5.7,0.176,3.3,8.0,0.417,0.354,3.0,3.3,0.9,0.0,4.0,4.0,4.0,0.3,0.0,2.7,3.3,12.7,
5.0,Romeo Langford,21.0,SG,4,2,27.3,3.3,8.0,0.406,1.5,4.3,0.353,1.8,3.8,0.467,0.5,1.0,1.0,1.0,1.3,1.3,2.5,1.3,0.8,0.5,0.3,0.5,9.0,
6.0,Tristan Thompson,29.0,C,5,5,26.4,4.0,6.8,0.588,0.0,0.0,,4.0,6.8,0.588,0.588,2.4,3.4,0.706,5.8,4.0,9.8,1.0,0.8,1.2,1.0,2.4,10.4,
7.0,Robert Williams,23.0,C,3,0,15.3,3.0,4.7,0.643,0.0,0.0,,3.0,4.7,0.643,0.643,0.3,0.7,0.5,2.7,2.3,5.0,0.7,0.3,3.0,0.3,2.3,6.3,
8.0,Aaron Nesmith,21.0,SF,5,0,15.0,1.0,3.6,0.278,0.8,2.8,0.286,0.2,0.8,0.25,0.389,0.4,0.4,1.0,0.4,2.2,2.6,0.2,0.2,0.2,0.4,1.4,3.2,
9.0,Jabari Parker,25.0,PF,4,0,14.8,3.3,5.3,0.619,0.5,1.3,0.4,2.8,4.0,0.688,0.667,1.5,2.0,0.75,0.5,3.3,3.8,0.5,0.0,0.8,1.5,1.8,8.5,
10.0,Payton Pritchard,23.0,SG,5,0,13.4,1.2,3.4,0.353,0.6,2.0,0.3,0.6,1.4,0.429,0.441,0.4,0.4,1.0,0.4,1.4,1.8,2.4,0.4,0.0,0.6,0.8,3.4,
11.0,Grant Williams,22.0,PF,5,0,11.4,1.2,2.4,0.5,0.4,0.8,0.5,0.8,1.6,0.5,0.583,0.6,0.6,1.0,0.6,1.4,2.0,0.8,0.2,0.8,0.2,1.4,3.4,
12.0,Semi Ojeleye,26.0,PF,2,0,6.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,
13.0,Carsen Edwards,22.0,SG,2,0,2.5,1.0,1.5,0.667,0.5,1.0,0.5,0.5,0.5,1.0,0.833,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.5,
14.0,Luke Kornet,25.0,C,2,0,2.5,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,
15.0,Tremont Waters,23.0,PG,3,0,2.0,0.3,1.3,0.25,0.0,0.7,0.0,0.3,0.7,0.5,0.25,0.7,1.0,0.667,0.0,0.0,0.0,0.7,0.3,0.0,0.7,0.0,1.3,
16.0,Tacko Fall,25.0,C,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
,Team Totals,,,5,5,240.0,38.4,88.2,0.435,12.8,36.6,0.35,25.6,51.6,0.496,0.508,22.6,27.4,0.825,12.6,28.8,41.4,21.0,6.4,7.0,13.0,21.0,112.2,
