Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jayson Tatum,22,SF,5,5,185,9.1,21.6,0.423,2.7,7.0,0.389,6.4,14.6,0.44,0.486,8.8,9.5,0.918,0.6,5.1,5.6,4.5,1.2,1.6,2.5,2.9,29.8,
2,Marcus Smart,26,PG,5,5,183,5.7,13.0,0.439,3.1,8.5,0.372,2.6,4.5,0.565,0.561,3.0,4.1,0.714,0.8,3.5,4.3,5.9,1.0,0.2,2.8,2.8,17.5,
3,Evan Fournier,28,SF,5,5,167,5.8,13.6,0.429,2.8,6.5,0.433,3.0,7.1,0.424,0.532,2.2,2.6,0.833,1.1,2.8,3.9,1.5,1.3,0.0,1.1,4.3,16.6,
4,Tristan Thompson,29,C,5,5,132,5.5,9.3,0.588,0.0,0.0,,5.5,9.3,0.588,0.588,3.3,4.6,0.706,7.9,5.5,13.4,1.4,1.1,1.6,1.4,3.3,14.2,
5,Romeo Langford,21,SG,4,2,109,4.3,10.6,0.406,2.0,5.6,0.353,2.3,5.0,0.467,0.5,1.3,1.3,1.0,1.7,1.7,3.3,1.7,1.0,0.7,0.3,0.7,11.9,
6,Kemba Walker,30,PG,3,3,91,5.1,16.2,0.317,1.2,6.7,0.176,4.0,9.5,0.417,0.354,3.6,4.0,0.9,0.0,4.7,4.7,4.7,0.4,0.0,3.2,4.0,15.0,
7,Aaron Nesmith,21,SF,5,0,75,2.4,8.6,0.278,1.9,6.7,0.286,0.5,1.9,0.25,0.389,1.0,1.0,1.0,1.0,5.3,6.2,0.5,0.5,0.5,1.0,3.4,7.7,
8,Payton Pritchard,23,SG,5,0,67,3.2,9.1,0.353,1.6,5.4,0.3,1.6,3.8,0.429,0.441,1.1,1.1,1.0,1.1,3.8,4.8,6.4,1.1,0.0,1.6,2.1,9.1,
9,Jabari Parker,25,PF,4,0,59,7.9,12.8,0.619,1.2,3.1,0.4,6.7,9.8,0.688,0.667,3.7,4.9,0.75,1.2,7.9,9.2,1.2,0.0,1.8,3.7,4.3,20.7,
10,Grant Williams,22,PF,5,0,57,3.8,7.6,0.5,1.3,2.5,0.5,2.5,5.1,0.5,0.583,1.9,1.9,1.0,1.9,4.4,6.3,2.5,0.6,2.5,0.6,4.4,10.7,
11,Robert Williams,23,C,3,0,46,7.0,11.0,0.643,0.0,0.0,,7.0,11.0,0.643,0.643,0.8,1.6,0.5,6.3,5.5,11.7,1.6,0.8,7.0,0.8,5.5,14.9,
12,Semi Ojeleye,26,PF,2,0,12,0.0,12.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,
13,Tremont Waters,23,PG,3,0,6,6.0,24.0,0.25,0.0,12.0,0.0,6.0,12.0,0.5,0.25,12.0,18.0,0.667,0.0,0.0,0.0,12.0,6.0,0.0,12.0,0.0,24.0,
14,Carsen Edwards,22,SG,2,0,5,14.4,21.6,0.667,7.2,14.4,0.5,7.2,7.2,1.0,0.833,0.0,0.0,,0.0,7.2,7.2,0.0,0.0,0.0,0.0,0.0,36.0,
15,Luke Kornet,25,C,2,0,5,7.2,7.2,1.0,0.0,0.0,,7.2,7.2,1.0,1.0,7.2,14.4,0.5,0.0,21.6,21.6,0.0,0.0,0.0,0.0,0.0,21.6,
16,Tacko Fall,25,C,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,
