Rk,Unnamed: 1,Salary
1,Kemba Walker,"$34,379,100"
2,Jaylen Brown,"$23,437,500"
3,Evan Fournier,"$17,450,000"
4,Marcus Smart,"$13,446,428"
5,Jayson Tatum,"$9,897,120"
6,Tristan Thompson,"$9,258,000"
7,Romeo Langford,"$3,631,200"
8,Aaron Nesmith,"$3,458,400"
9,Grant Williams,"$2,498,760"
10,Luke Kornet,"$2,250,000"
11,Moritz Wagner,"$2,161,920"
12,Payton Pritchard,"$2,035,800"
13,Robert Williams,"$2,029,920"
14,Semi Ojeleye,"$1,752,950"
15,Carsen Edwards,"$1,517,981"
16,Guerschon Yabusele,"$1,039,080"
17,Jabari Parker,"$430,729"
18,Demetrius Jackson,"$92,857"
19,Tremont Waters,$0
20,Tacko Fall,$0
