Rk,Unnamed: 1,Salary
1,Blake Griffin,"$29,764,126"
2,Jerami Grant,"$20,002,500"
3,Kelly Olynyk,"$12,195,122"
4,Marvin Bagley,"$11,312,114"
5,Cade Cunningham,"$10,050,120"
6,DeAndre Jordan,"$7,875,533"
7,Cory Joseph,"$7,310,000"
8,Killian Hayes,"$5,572,680"
9,Hamidou Diallo,"$5,200,000"
10,Isaiah Stewart,"$3,277,080"
11,Frank Jackson,"$3,000,000"
12,Dewayne Dedmon,"$2,866,667"
13,Saddiq Bey,"$2,824,320"
14,Rodney McGruder,"$1,939,350"
15,Deividas Sirvydis,"$1,603,559"
16,Saben Lee,"$1,489,065"
17,Isaiah Livers,"$1,057,260"
18,Luka Garza,"$925,258"
19,Cassius Stanley,"$256,734"
20,Cheick Diallo,"$102,831"
21,Derrick Walton,"$95,930"
22,Justin Robinson,"$95,930"
23,Carsen Edwards,"$76,744"
24,Micah Potter,"$53,176"
25,Trayvon Palmer,"$53,176"
26,Jaysean Paige,"$53,176"
27,Braxton Key,"$53,176"
28,Jamorko Pickett,$0
29,Chris Smith,$0
