Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82.0,19780,3129,7267,0.431,925,2838,0.326,2204,4429,0.498,1413,1806,0.782,900,2625,3525,1924,630,393,1163,1799,8596
Team/G,,241.2,38.2,88.6,0.431,11.3,34.6,0.326,26.9,54.0,0.498,17.2,22.0,0.782,11.0,32.0,43.0,23.5,7.7,4.8,14.2,21.9,104.8
Lg Rank,,13,29,11,29.0,26,16,29.0,20,12,29.0,13,13,13.0,8,29,25,24,10,14,20,30,28
Year/Year,,-0.4%,-1.3%,3.6%,-0.021,-2.4%,5.1%,-0.025,-0.8%,2.6%,-0.017,-2.9%,-5.8%,0.023,13.9%,-3.2%,0.7%,-3.1%,4.2%,-7.0%,-5.0%,6.9%,-1.7%
Opponent,82.0,19780,3333,7051,0.473,966,2668,0.362,2367,4383,0.54,1597,2056,0.777,847,2946,3793,2061,606,427,1197,1625,9229
Opponent/G,,241.2,40.6,86.0,0.473,11.8,32.5,0.362,28.9,53.5,0.54,19.5,25.1,0.777,10.3,35.9,46.3,25.1,7.4,5.2,14.6,19.8,112.5
Lg Rank,,13,14,7,25.0,8,5,22.0,20,15,20.0,29,29,19.0,16,28,24,19,12,26,7,14,22
Year/Year,,-0.4%,-1.8%,-1.1%,-0.003,3.8%,3.7%,0.001,-3.9%,-3.8%,-0.001,14.8%,12.3%,0.017,3.7%,4.5%,4.3%,1.4%,-7.9%,-10.5%,4.7%,-2.9%,1.3%
