team,player,image_url,file_path
BrooklynNets,Nic Claxton,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278067.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\nic_claxton.png
BrooklynNets,Noah Clowney,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4712896.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\noah_clowney.png
BrooklynNets,Egor Demin,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5175643.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\egor_demin.png
BrooklynNets,Tyson Etienne,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432887.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\tyson_etienne.png
BrooklynNets,Haywood Highsmith,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4291678.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\haywood_highsmith.png
BrooklynNets,E.J. Liddell,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432821.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\ej_liddell.png
BrooklynNets,Terance Mann,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3907823.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\terance_mann.png
BrooklynNets,Tyrese Martin,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397179.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\tyrese_martin.png
BrooklynNets,Michael Porter Jr.,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278104.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\michael_porter_jr.png
BrooklynNets,Drake Powell,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5037873.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\drake_powell.png
BrooklynNets,Ben Saraf,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5242502.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\ben_saraf.png
BrooklynNets,Day'Ron Sharpe,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432194.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\dayron_sharpe.png
BrooklynNets,Cam Thomas,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432174.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\cam_thomas.png
BrooklynNets,Nolan Traore,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5279130.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\nolan_traore.png
BrooklynNets,Ziaire Williams,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433137.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\ziaire_williams.png
BrooklynNets,Jalen Wilson,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431714.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\jalen_wilson.png
BrooklynNets,Danny Wolf,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5107173.png&h=80&w=110&scale=crop,nba_rosters\brooklynnets\danny_wolf.png
