Rk,Unnamed: 1,Salary
1,RJ Barrett,"$23,883,929"
2,Bruce Brown,"$22,000,000"
3,Spencer Dinwiddie,"$20,357,143"
4,Jakob Poeltl,"$19,500,000"
5,Gary Trent,"$18,560,000"
6,Kelly Olynyk,"$12,195,122"
7,Chris Boucher,"$11,750,000"
8,Scottie Barnes,"$8,008,680"
9,Gradey Dick,"$4,536,720"
10,Jalen McDaniels,"$4,516,000"
11,Immanuel Quickley,"$4,171,548"
12,Ochai Agbaji,"$4,114,200"
13,Jordan Nwora,"$3,000,000"
14,Garrett Temple,"$2,019,706"
15,Christian Koloko,"$1,719,864"
16,Javon Freeman-Liberty,"$289,542"
17,Kobi Simmons,"$116,075"
18,Jahmi'us Ramsey,"$116,075"
19,Justise Winslow,"$116,075"
20,Jahmi'us Ramsey,"$116,075"
21,Malik Williams,"$64,343"
22,Mouhamadou Gueye,"$64,343"
23,D.J. Carton,"$64,343"
24,Malik Williams,"$12,869"
25,D.J. Carton,
26,Mouhamadou Gueye,
27,Jontay Porter,
28,Javon Freeman-Liberty,
29,Ron Harper,
30,Markquis Nowell,
