Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Bam Adebayo,27.0,C,4,4,153,0.438,0.488,0.333,0.492,0.636,0.508,0.172,0.328,94,90.0,93.0,91,82.0,88,71,78,
2.0,Kyle Anderson,31.0,SF,2,0,14,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0.0,,0,,0,0,0,
3.0,Alec Burks,33.0,SG,1,1,15,0.667,,0.667,1.0,,1.0,0.0,1.0,143,,185.0,184,,174,0,237,
4.0,Tyler Herro,25.0,SG,4,4,144,0.415,0.5,0.31,0.485,0.8,0.512,0.154,0.446,89,92.0,86.0,89,103.0,89,63,106,
5.0,Haywood Highsmith,28.0,SF,4,0,84,0.579,1.0,0.467,0.763,,0.763,0.0,0.789,124,183.0,130.0,141,,132,0,187,
6.0,Jaime Jaquez Jr.,23.0,SF,3,0,19,0.167,0.25,0.0,0.167,1.0,0.291,0.333,0.333,36,46.0,0.0,31,128.0,50,137,79,
7.0,Keshad Johnson,23.0,SF,2,0,8,1.0,1.0,,1.0,,1.0,0.0,0.0,214,183.0,,184,,174,0,0,
8.0,Nikola Jović,21.0,PF,4,0,75,0.371,0.636,0.25,0.457,1.0,0.505,0.171,0.686,79,117.0,69.0,84,128.0,88,71,163,
9.0,Pelle Larsson,23.0,SG,4,0,52,0.533,0.714,0.375,0.633,0.333,0.613,0.2,0.533,114,131.0,104.0,117,43.0,106,82,127,
10.0,Davion Mitchell,26.0,PG,4,3,142,0.61,0.667,0.5,0.695,0.429,0.681,0.171,0.341,131,122.0,139.0,128,55.0,118,70,81,
11.0,Duncan Robinson,30.0,SF,4,0,59,0.357,0.5,0.333,0.5,0.75,0.539,0.286,0.857,76,92.0,93.0,92,96.0,94,118,204,
12.0,Kel'el Ware,20.0,C,4,4,73,0.444,0.714,0.273,0.528,,0.528,0.0,0.611,95,131.0,76.0,97,,92,0,145,
13.0,Andrew Wiggins,29.0,SF,4,4,122,0.372,0.391,0.35,0.453,0.7,0.485,0.233,0.465,80,72.0,97.0,84,90.0,84,96,110,
,Team Totals,,,4,4,960,0.445,0.539,0.346,0.529,0.698,0.547,0.163,0.488,95,99.0,96.0,97,90.0,95,67,116,
