Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 29_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Bam Adebayo,27.0,C,4,4,153,0.438,14.4,0.672,0.094,0.25,0.281,0.047,0.328,0.488,0.667,0.625,0.333,0.333,0.333,0.238,1.0,0.078,3,0.524,0.364,0,0,
2.0,Tyler Herro,25.0,SG,4,4,144,0.415,17.4,0.554,0.077,0.154,0.277,0.046,0.446,0.5,0.4,0.8,0.389,0.333,0.31,0.389,0.667,0.0,0,0.103,0.333,0,0,
3.0,Davion Mitchell,26.0,PG,4,3,142,0.61,13.2,0.659,0.195,0.366,0.073,0.024,0.341,0.667,0.75,0.733,0.333,0.0,0.5,0.278,0.714,0.0,0,0.143,0.5,0,0,
4.0,Andrew Wiggins,29.0,SF,4,4,122,0.372,17.6,0.535,0.093,0.233,0.07,0.14,0.465,0.391,0.5,0.4,0.333,0.333,0.35,0.556,0.714,0.0,0,0.2,0.5,0,0,
5.0,Haywood Highsmith,28.0,SF,4,0,84,0.579,21.3,0.211,0.158,0.0,0.053,0.0,0.789,1.0,1.0,,1.0,,0.467,0.75,1.0,0.053,1,0.4,0.5,0,0,
6.0,Nikola Jović,21.0,PF,4,0,75,0.371,18.8,0.314,0.143,0.114,0.029,0.029,0.686,0.636,0.8,0.75,0.0,0.0,0.25,0.571,1.0,0.0,0,0.5,0.25,0,0,
7.0,Kel'el Ware,20.0,C,4,4,73,0.444,17.7,0.389,0.111,0.167,0.111,0.0,0.611,0.714,1.0,0.667,0.5,,0.273,0.6,1.0,0.167,2,0.364,0.5,0,0,
8.0,Duncan Robinson,30.0,SF,4,0,59,0.357,22.9,0.143,0.0,0.143,0.0,0.0,0.857,0.5,,0.5,,,0.333,1.0,1.0,0.0,0,0.083,0.0,0,0,
9.0,Pelle Larsson,23.0,SG,4,0,52,0.533,14.9,0.467,0.267,0.2,0.0,0.0,0.533,0.714,0.5,1.0,,,0.375,0.6,1.0,0.0,0,0.125,1.0,0,0,
10.0,Jaime Jaquez Jr.,23.0,SF,3,0,19,0.167,9.4,0.667,0.5,0.167,0.0,0.0,0.333,0.25,0.0,1.0,,,0.0,0.0,,0.0,0,1.0,0.0,0,0,
11.0,Alec Burks,33.0,SG,1,1,15,0.667,27.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.667,,1.0,0.0,0,0.333,0.0,0,0,
12.0,Kyle Anderson,31.0,SF,2,0,14,0.0,6.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0,,,0,0,
13.0,Keshad Johnson,23.0,SF,2,0,8,1.0,1.4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,1.0,,1.0,1,,,0,0,
,Team Totals,,,4,4,960,0.445,15.6,0.512,0.126,0.202,0.141,0.043,0.488,0.539,0.634,0.652,0.37,0.286,0.346,0.411,0.873,0.031,7,0.296,0.362,0,0,
