Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Bam Adebayo,27.0,4,4,153,28,64,0.438,7,21,0.333,21,43,0.488,0.492,7,11,0.636,16,28,44,17,4,1,12,9,70,0,
2.0,Tyler Herro,25.0,4,4,144,27,65,0.415,9,29,0.31,18,36,0.5,0.485,8,10,0.8,0,14,14,11,2,0,9,12,71,0,
3.0,Davion Mitchell,26.0,4,3,142,25,41,0.61,7,14,0.5,18,27,0.667,0.695,3,7,0.429,2,7,9,25,3,1,8,11,60,0,
4.0,Andrew Wiggins,29.0,4,4,122,16,43,0.372,7,20,0.35,9,23,0.391,0.453,7,10,0.7,4,9,13,9,1,5,11,6,46,0,
5.0,Haywood Highsmith,28.0,4,0,84,11,19,0.579,7,15,0.467,4,4,1.0,0.763,0,0,,4,9,13,4,3,2,4,11,29,0,
6.0,Nikola Jović,21.0,4,0,75,13,35,0.371,6,24,0.25,7,11,0.636,0.457,6,6,1.0,4,12,16,6,3,1,5,2,38,0,
7.0,Kel'el Ware,20.0,4,4,73,8,18,0.444,3,11,0.273,5,7,0.714,0.528,0,0,,4,15,19,4,1,2,2,3,19,0,
8.0,Duncan Robinson,30.0,4,0,59,5,14,0.357,4,12,0.333,1,2,0.5,0.5,3,4,0.75,0,4,4,1,0,0,6,6,17,0,
9.0,Pelle Larsson,23.0,4,0,52,8,15,0.533,3,8,0.375,5,7,0.714,0.633,1,3,0.333,2,7,9,4,1,0,2,6,20,0,
10.0,Jaime Jaquez Jr.,23.0,3,0,19,1,6,0.167,0,2,0.0,1,4,0.25,0.167,2,2,1.0,3,1,4,1,0,0,1,1,4,0,
11.0,Alec Burks,33.0,1,1,15,2,3,0.667,2,3,0.667,0,0,,1.0,0,0,,0,2,2,2,0,0,0,0,6,0,
12.0,Kyle Anderson,31.0,2,0,14,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,1,1,1,0,0,1,1,0,0,
13.0,Keshad Johnson,23.0,2,0,8,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,0,1,0,0,0,1,1,2,0,
,Team Totals,,4,4,960,145,326,0.445,55,159,0.346,90,167,0.539,0.529,37,53,0.698,40,109,149,85,18,12,62,69,382,0,
