Player,Team,Update,Description
Ayo Dosunmu,Chicago Bulls,"Thu, Dec 18, 2025",Day To Day (Thumb) - Dosunmu did not play on Wednesday's (Dec. 17) game against Cleveland.
Noa Essengue,Chicago Bulls,"Wed, Dec 3, 2025","Out For Season (Shoulder) - The Bulls reported on Wednesday (Dec. 3) that Essengue will have shoulder surgery and miss the remainder of the season, per HC Billy Donovan."
