Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,27.0,6505,1072,2375,0.451,437,1187,0.368,635,1188,0.535,507,620,0.818,302,863,1165,746,264,116,432,565,3088
Team/G,,240.9,39.7,88.0,0.451,16.2,44.0,0.368,23.5,44.0,0.535,18.8,23.0,0.818,11.2,32.0,43.1,27.6,9.8,4.3,16.0,20.9,114.4
Lg Rank,,7,27,24,27.0,1,1,9.0,30,29,23.0,22,24,5.0,17,19,21,8,3,22,25,17,22
Year/Year,,0.1%,-2.6%,-2.7%,0.0,5.0%,3.7%,0.004,-7.2%,-8.4%,0.007,11.3%,4.0%,0.054,-10.9%,-2.6%,-4.9%,-5.0%,4.0%,-9.9%,13.9%,9.2%,0.5%
Opponent,27.0,6505,1112,2406,0.462,332,965,0.344,780,1441,0.541,500,620,0.806,331,895,1226,699,232,107,431,512,3056
Opponent/G,,240.9,41.2,89.1,0.462,12.3,35.7,0.344,28.9,53.4,0.541,18.5,23.0,0.806,12.3,33.1,45.4,25.9,8.6,4.0,16.0,19.0,113.2
Lg Rank,,7,10,17,9.0,5,10,6.0,17,19,10.0,10,5,26.0,27,19,23,12,16,3,7,28,6
Year/Year,,0.1%,1.8%,2.5%,-0.003,-6.6%,-1.5%,-0.019,5.9%,5.5%,0.002,12.6%,7.5%,0.037,15.7%,-0.9%,3.1%,0.1%,13.5%,-26.3%,1.4%,2.1%,2.4%
