Player,Team,Update,Description
Al Horford,Golden State Warriors,"Wed, Dec 17, 2025",Out (Back) - The Warriors listed Horford as Out for Thursday's (Dec. 18) game against the Suns.
Pat Spencer,Golden State Warriors,"Wed, Dec 17, 2025",Out (Personal) - The Warriors listed Spencer as Out for Thursday's (Dec. 18) game against the Suns.
