Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Nikola Jokić,30,25,25,874,14.9,24.3,0.613,3.1,7.1,0.433,11.8,17.2,0.687,0.676,8.6,10.2,0.842,4.2,13.0,17.2,15.1,1.9,1.1,4.7,4.1,41.5,143,111,
2,Jamal Murray,28,24,24,840,12.3,24.6,0.501,4.4,9.8,0.447,7.9,14.8,0.537,0.591,5.5,6.1,0.896,0.6,5.5,6.1,9.4,1.5,0.4,3.2,2.3,34.5,127,118,
3,Cameron Johnson,29,24,24,736,6.3,13.9,0.457,2.8,7.2,0.385,3.6,6.7,0.535,0.557,2.6,3.4,0.784,1.3,4.0,5.3,3.5,1.1,0.4,1.7,3.6,18.1,119,120,
4,Peyton Watson,23,25,15,655,7.3,14.5,0.503,2.0,5.1,0.391,5.3,9.3,0.563,0.572,3.0,4.2,0.714,2.2,6.8,8.9,3.0,1.6,2.1,2.3,4.0,19.5,117,115,
5,Tim Hardaway Jr.,33,25,1,637,7.9,17.2,0.458,4.6,11.3,0.405,3.3,5.9,0.558,0.591,3.0,3.4,0.886,0.5,3.4,3.9,2.9,1.1,0.2,0.5,2.2,23.3,131,121,
6,Bruce Brown,29,25,0,593,5.0,11.9,0.421,1.1,3.3,0.325,3.9,8.6,0.457,0.466,2.4,3.0,0.806,2.1,5.8,7.9,4.3,1.9,0.5,2.0,4.7,13.4,111,117,
7,Aaron Gordon,30,13,13,368,10.8,20.3,0.532,3.7,8.3,0.444,7.1,12.0,0.593,0.623,6.9,7.9,0.867,2.5,7.7,10.2,2.2,1.3,0.4,2.4,3.2,32.2,130,117,
8,Spencer Jones,24,21,10,366,4.9,8.6,0.569,2.1,4.6,0.457,2.8,4.0,0.7,0.692,1.3,2.1,0.625,3.2,2.8,6.0,1.9,1.7,0.8,1.6,6.8,13.3,132,119,
9,Christian Braun,24,11,11,325,7.2,14.5,0.495,0.9,4.2,0.214,6.3,10.3,0.609,0.526,3.4,4.3,0.793,2.7,4.5,7.2,4.9,1.3,0.4,2.1,3.6,18.7,121,119,
10,Jonas Valančiūnas,33,25,0,320,13.2,22.2,0.596,0.5,1.5,0.3,12.8,20.7,0.618,0.606,5.2,7.0,0.739,4.9,12.6,17.5,4.7,0.6,2.0,3.9,7.6,32.0,122,114,
11,Zeke Nnaji,25,15,1,125,5.1,9.3,0.542,1.2,4.7,0.25,3.9,4.7,0.833,0.604,1.9,2.7,0.714,1.6,7.0,8.6,1.2,1.6,1.2,2.7,6.6,13.2,106,116,
12,Jalen Pickett,26,11,1,97,5.5,12.5,0.44,3.0,7.5,0.4,2.5,5.0,0.5,0.56,0.5,0.5,1.0,1.5,6.5,8.0,7.0,1.5,0.0,3.0,3.0,14.5,114,118,
13,Julian Strawther,23,9,0,71,7.5,20.5,0.367,1.4,11.0,0.125,6.2,9.6,0.643,0.4,6.2,8.9,0.692,0.0,9.6,9.6,2.7,0.0,0.7,2.1,4.1,22.6,96,119,
14,Hunter Tyson,25,9,0,35,4.2,18.0,0.231,2.8,9.7,0.286,1.4,8.3,0.167,0.308,2.8,2.8,1.0,1.4,15.3,16.7,4.2,1.4,0.0,0.0,4.2,13.9,98,113,
15,DaRon Holmes,23,2,0,4,12.1,12.1,1.0,12.1,12.1,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,36.4,300,125,
16,Curtis Jones,24,2,0,3,16.2,48.6,0.333,0.0,16.2,0.0,16.2,32.4,0.5,0.333,0.0,0.0,,16.2,16.2,32.4,0.0,0.0,0.0,0.0,0.0,32.4,92,115,
