Player,Team,Update,Description
Christian Braun,Denver Nuggets,"Fri, Nov 14, 2025","Out (Ankle) - Christian Braun will be re-evaluated in six weeks after suffering a left ankle sprain during Wednesday's (Nov. 12) win over the Clippers, Shams Charania of ESPN reports."
Aaron Gordon,Denver Nuggets,"Tue, Dec 9, 2025","Out (Hamstring) - Gordon is not expected to return before Christmas, according to Vinny Benedetto of The Denver Gazette reports."
Tim Hardaway Jr.,Denver Nuggets,"Wed, Dec 17, 2025",Day To Day (Illness) - The Nuggets listed Hardaway Jr. as Questionable on Thurday's (Dec. 18) game versus the Magic.
Peyton Watson,Denver Nuggets,"Wed, Dec 17, 2025",Day To Day (Side) - The Nuggets listed Watson as Questionable on Thurday's (Dec. 18) game versus the Magic.
