Rk,Unnamed: 1,Salary
1,Jayson Tatum,"$30,351,780"
2,Jaylen Brown,"$28,741,071"
3,Al Horford,"$26,500,000"
4,Malcolm Brogdon,"$22,600,000"
5,Marcus Smart,"$17,457,142"
6,Derrick White,"$16,892,857"
7,Robert Williams,"$10,937,502"
8,Danilo Gallinari,"$6,479,000"
9,Grant Williams,"$4,306,281"
10,Mike Muscala,"$3,500,000"
11,Payton Pritchard,"$2,239,200"
12,Luke Kornet,"$2,133,278"
13,Blake Griffin,"$1,836,090"
14,Sam Hauser,"$1,637,966"
15,Demetrius Jackson,"$92,857"
16,Justin Champagnie,"$28,241"
17,JD Davison,
18,Mfiondu Kabengele,
