Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Tyrese Haliburton,24.0,PG,23,23,772,20.0,0.581,0.505,0.203,1.1,16.5,9.2,39.1,1.9,1.8,13.4,22.7,1.7,0.8,2.5,0.158,3.9,0.8,4.7,1.3,
2.0,Pascal Siakam,30.0,PF,23,23,771,20.3,0.598,0.24,0.358,4.8,16.5,11.0,16.4,1.8,1.9,7.1,24.4,1.8,0.8,2.6,0.161,3.1,1.1,4.3,1.2,
3.0,Andrew Nembhard,25.0,SG,23,23,769,12.9,0.59,0.386,0.206,2.2,8.5,5.6,19.7,2.2,0.6,14.7,16.4,0.8,0.6,1.5,0.091,-0.3,1.3,1.0,0.6,
4.0,Myles Turner,28.0,C,23,23,675,14.9,0.607,0.411,0.438,5.1,13.3,9.4,6.9,0.9,6.2,12.7,19.6,0.7,0.7,1.4,0.097,-0.4,1.0,0.6,0.4,
5.0,Aaron Nesmith,25.0,SF,23,23,650,14.3,0.639,0.575,0.17,5.1,17.4,11.6,5.8,1.5,2.5,9.2,17.1,1.0,0.7,1.7,0.125,0.8,1.0,1.7,0.6,
6.0,Obi Toppin,26.0,PF,23,0,440,14.3,0.578,0.456,0.211,3.6,18.7,11.6,10.4,1.7,1.7,11.4,21.2,0.2,0.5,0.7,0.076,0.1,0.3,0.4,0.3,
7.0,T.J. McConnell,32.0,PG,23,0,402,19.0,0.583,0.109,0.154,3.7,17.2,10.8,38.0,2.4,0.5,19.1,25.4,0.4,0.5,0.9,0.103,1.3,1.3,2.6,0.5,
8.0,Bennedict Mathurin,22.0,SF,22,0,385,18.5,0.628,0.405,0.696,8.3,13.4,11.0,7.4,1.1,1.7,11.9,25.2,0.9,0.3,1.2,0.152,1.6,-0.2,1.4,0.3,
9.0,Ben Sheppard,23.0,SG,21,0,293,6.4,0.635,0.745,0.078,3.3,11.6,7.7,3.6,1.3,0.3,17.3,9.6,0.1,0.2,0.3,0.047,-3.0,0.5,-2.5,0.0,
10.0,Thomas Bryant,27.0,C,20,0,167,10.1,0.664,0.545,0.424,5.1,13.1,9.4,3.2,1.2,3.3,15.2,12.2,0.2,0.2,0.3,0.093,-2.5,0.3,-2.3,0.0,
11.0,Jarace Walker,21.0,PF,12,0,117,7.0,0.503,0.588,0.118,2.1,17.8,10.4,9.4,0.8,1.6,16.4,16.2,-0.1,0.1,0.0,-0.009,-3.3,-0.6,-3.9,-0.1,
12.0,Tony Bradley,27.0,C,11,0,78,9.4,0.595,0.111,1.333,17.3,14.0,15.6,4.9,0.0,1.2,21.9,10.4,0.1,0.0,0.2,0.1,-2.3,-2.1,-4.4,0.0,
13.0,Johnny Furphy,20.0,SG,11,0,35,-0.8,0.225,0.5,0.25,3.5,15.6,9.9,3.5,0.0,2.6,18.4,6.9,-0.1,0.0,0.0,-0.057,-8.5,-0.3,-8.8,-0.1,
14.0,James Johnson,37.0,PF,5,0,18,17.8,0.595,0.2,0.4,0.0,6.1,3.2,16.5,5.4,10.2,14.5,16.9,0.0,0.0,0.0,0.133,-1.5,8.2,6.7,0.0,
,Team Totals,,,23,23,5572,,0.599,0.4,0.292,,,,,,,,,7.7,5.4,13.2,0.114,0.8,0.8,1.6,5.1,
