0,1,2,3
Oklahoma City Thunder,(24-2),F,$
Denver Nuggets,(19-6),F,$
Minnesota Timberwolves,(17-10),F,$
Utah Jazz,(10-15),F,$
Portland Trail Blazers,(10-16),F,$
